Council area,Registration Year,Standardised birth rate,
Stirling,1995,11.3,
West Dunbartonshire,1995,12.2,
West Lothian,1995,12.8,
Aberdeen City,1996,9.8,
Aberdeenshire,1996,12.3,
Angus,1996,12.4,
Argyll and Bute,1996,12.4,
City of Edinburgh,1996,10.0,
Clackmannanshire,1996,12.8,
Dumfries and Galloway,1996,12.6,
Dundee City,1996,11.1,
East Ayrshire,1996,11.9,
East Dunbartonshire,1996,11.9,
East Lothian,1996,13.6,
East Renfrewshire,1996,12.9,
Falkirk,1996,11.8,
Fife,1996,11.5,
Glasgow City,1996,11.2,
Highland,1996,12.8,
Inverclyde,1996,12.1,
Midlothian,1996,12.0,
Moray,1996,12.6,
Na h-Eileanan Siar,1996,12.0,
North Ayrshire,1996,11.9,
North Lanarkshire,1996,12.2,
Orkney Islands,1996,13.0,
Perth and Kinross,1996,11.8,
Renfrewshire,1996,11.9,
Scotland,1996,11.6,
Scottish Borders,1996,12.4,
Shetland Islands,1996,12.9,
South Ayrshire,1996,11.7,
South Lanarkshire,1996,11.7,
Stirling,1996,11.2,
West Dunbartonshire,1996,12.6,
West Lothian,1996,12.1,
Aberdeen City,1997,9.7,
Aberdeenshire,1997,12.4,
Angus,1997,12.7,
Argyll and Bute,1997,12.3,
City of Edinburgh,1997,9.8,
Clackmannanshire,1997,12.3,
Dumfries and Galloway,1997,12.4,
Dundee City,1997,11.1,
East Ayrshire,1997,11.9,
East Dunbartonshire,1997,11.9,
East Lothian,1997,13.4,
East Renfrewshire,1997,13.2,
Falkirk,1997,11.5,
Fife,1997,11.5,
Glasgow City,1997,11.3,
Highland,1997,13.2,
Inverclyde,1997,11.8,
Midlothian,1997,12.4,
Moray,1997,13.5,
Na h-Eileanan Siar,1997,11.3,
North Ayrshire,1997,12.3,
North Lanarkshire,1997,12.2,
Orkney Islands,1997,13.5,
Perth and Kinross,1997,12.2,
Renfrewshire,1997,12.4,
Scotland,1997,11.7,
Scottish Borders,1997,12.4,
Shetland Islands,1997,13.6,
South Ayrshire,1997,11.6,
South Lanarkshire,1997,11.8,
Stirling,1997,11.6,
West Dunbartonshire,1997,12.1,
West Lothian,1997,12.4,
Aberdeen City,1998,9.7,
Aberdeenshire,1998,12.4,
Angus,1998,12.1,
Argyll and Bute,1998,11.1,
City of Edinburgh,1998,9.3,
Clackmannanshire,1998,11.6,
Dumfries and Galloway,1998,12.0,
Dundee City,1998,10.8,
East Ayrshire,1998,11.7,
East Dunbartonshire,1998,11.5,
East Lothian,1998,12.4,
East Renfrewshire,1998,12.9,
Falkirk,1998,11.9,
Fife,1998,11.6,
Glasgow City,1998,10.5,
Highland,1998,13.3,
Inverclyde,1998,11.1,
Midlothian,1998,12.7,
Moray,1998,13.0,
Na h-Eileanan Siar,1998,12.5,
North Ayrshire,1998,11.6,
North Lanarkshire,1998,12.1,
Orkney Islands,1998,11.8,
Perth and Kinross,1998,11.6,
Renfrewshire,1998,11.4,
Scotland,1998,11.3,
Scottish Borders,1998,11.4,
Shetland Islands,1998,12.6,
South Ayrshire,1998,11.8,
South Lanarkshire,1998,11.0,
Stirling,1998,11.0,
West Dunbartonshire,1998,11.7,
West Lothian,1998,11.9,
Aberdeen City,1999,9.5,
Aberdeenshire,1999,12.0,
Angus,1999,11.2,
Argyll and Bute,1999,11.0,
City of Edinburgh,1999,9.0,
Clackmannanshire,1999,11.9,
Dumfries and Galloway,1999,11.2,
Dundee City,1999,10.0,
East Ayrshire,1999,11.2,
East Dunbartonshire,1999,11.0,
East Lothian,1999,11.9,
East Renfrewshire,1999,12.2,
Falkirk,1999,11.1,
Fife,1999,11.1,
Glasgow City,1999,10.1,
Highland,1999,12.1,
Inverclyde,1999,11.7,
Midlothian,1999,12.6,
Moray,1999,12.3,
Na h-Eileanan Siar,1999,12.3,
North Ayrshire,1999,10.7,
North Lanarkshire,1999,11.5,
Orkney Islands,1999,11.6,
Perth and Kinross,1999,11.6,
Renfrewshire,1999,11.3,
Scotland,1999,10.9,
Scottish Borders,1999,11.8,
Shetland Islands,1999,13.8,
South Ayrshire,1999,10.6,
South Lanarkshire,1999,11.2,
Stirling,1999,10.3,
West Dunbartonshire,1999,11.1,
West Lothian,1999,12.0,
Aberdeen City,2000,8.7,
Aberdeenshire,2000,11.3,
Angus,2000,11.0,
Argyll and Bute,2000,10.7,
City of Edinburgh,2000,8.6,
Clackmannanshire,2000,10.7,
Dumfries and Galloway,2000,11.1,
Dundee City,2000,9.6,
East Ayrshire,2000,10.8,
East Dunbartonshire,2000,10.1,
East Lothian,2000,12.4,
East Renfrewshire,2000,11.9,
Falkirk,2000,10.8,
Fife,2000,10.5,
Glasgow City,2000,9.7,
Highland,2000,11.8,
Inverclyde,2000,10.7,
Midlothian,2000,11.9,
Moray,2000,11.6,
Na h-Eileanan Siar,2000,10.8,
North Ayrshire,2000,10.7,
North Lanarkshire,2000,11.4,
Orkney Islands,2000,9.4,
Perth and Kinross,2000,11.5,
Renfrewshire,2000,11.5,
Scotland,2000,10.5,
Scottish Borders,2000,11.9,
Shetland Islands,2000,11.3,
South Ayrshire,2000,10.9,
South Lanarkshire,2000,10.7,
Stirling,2000,10.1,
West Dunbartonshire,2000,10.7,
West Lothian,2000,11.2,
Aberdeen City,2001,8.7,
Aberdeenshire,2001,11.1,
Angus,2001,11.9,
Argyll and Bute,2001,10.6,
City of Edinburgh,2001,8.2,
Clackmannanshire,2001,11.7,
Dumfries and Galloway,2001,10.5,
Dundee City,2001,9.6,
East Ayrshire,2001,10.5,
East Dunbartonshire,2001,10.5,
East Lothian,2001,11.6,
East Renfrewshire,2001,12.3,
Falkirk,2001,10.0,
Fife,2001,10.9,
Glasgow City,2001,9.7,
Highland,2001,11.8,
Inverclyde,2001,10.6,
Midlothian,2001,12.0,
Moray,2001,11.1,
Na h-Eileanan Siar,2001,10.9,
North Ayrshire,2001,11.0,
North Lanarkshire,2001,10.9,
Orkney Islands,2001,10.9,
