Council area,Registration Year,Number of marriages,,,,,,,,,,
Aberdeen City,2001,972,,,,,,,,,,
Aberdeenshire,2001,987,,,,,,,,,,
Angus,2001,371,,,,,,,,,,
Argyll and Bute,2001,638,,,,,,,,,,
City of Edinburgh,2001,2645,,,,,,,,,,
Clackmannanshire,2001,180,,,,,,,,,,
Dumfries and Galloway,2001,6063,,,,,,,,,,
Dundee City,2001,576,,,,,,,,,,
East Ayrshire,2001,331,,,,,,,,,,
East Dunbartonshire,2001,385,,,,,,,,,,
East Lothian,2001,406,,,,,,,,,,
East Renfrewshire,2001,457,,,,,,,,,,
Falkirk,2001,564,,,,,,,,,,
Fife,2001,1748,,,,,,,,,,
Glasgow City,2001,2685,,,,,,,,,,
Highland,2001,1504,,,,,,,,,,
Inverclyde,2001,291,,,,,,,,,,
Midlothian,2001,640,,,,,,,,,,
Moray,2001,355,,,,,,,,,,
Na h-Eileanan Siar,2001,88,,,,,,,,,,
North Ayrshire,2001,617,,,,,,,,,,
North Lanarkshire,2001,1062,,,,,,,,,,
Orkney Islands,2001,99,,,,,,,,,,
Perth and Kinross,2001,926,,,,,,,,,,
Renfrewshire,2001,535,,,,,,,,,,
Scotland,2001,"29,621",,,,,,,,,,
Scottish Borders,2001,680,,,,,,,,,,
Shetland Islands,2001,102,,,,,,,,,,
South Ayrshire,2001,738,,,,,,,,,,
South Lanarkshire,2001,1126,,,,,,,,,,
Stirling,2001,796,,,,,,,,,,
West Dunbartonshire,2001,472,,,,,,,,,,
West Lothian,2001,582,,,,,,,,,,
Aberdeen City,2002,1005,,,,,,,,,,
Aberdeenshire,2002,1032,,,,,,,,,,
Angus,2002,397,,,,,,,,,,
Argyll and Bute,2002,652,,,,,,,,,,
City of Edinburgh,2002,2721,,,,,,,,,,
Clackmannanshire,2002,159,,,,,,,,,,
Dumfries and Galloway,2002,6110,,,,,,,,,,
Dundee City,2002,520,,,,,,,,,,
East Ayrshire,2002,341,,,,,,,,,,
East Dunbartonshire,2002,342,,,,,,,,,,
East Lothian,2002,446,,,,,,,,,,
East Renfrewshire,2002,492,,,,,,,,,,
Falkirk,2002,574,,,,,,,,,,
Fife,2002,1784,,,,,,,,,,
Glasgow City,2002,2607,,,,,,,,,,
Highland,2002,1545,,,,,,,,,,
Inverclyde,2002,296,,,,,,,,,,
Midlothian,2002,676,,,,,,,,,,
Moray,2002,399,,,,,,,,,,
Na h-Eileanan Siar,2002,94,,,,,,,,,,
North Ayrshire,2002,649,,,,,,,,,,
North Lanarkshire,2002,1089,,,,,,,,,,
Orkney Islands,2002,93,,,,,,,,,,
Perth and Kinross,2002,937,,,,,,,,,,
Renfrewshire,2002,499,,,,,,,,,,
Scotland,2002,"29,826",,,,,,,,,,
Scottish Borders,2002,701,,,,,,,,,,
Shetland Islands,2002,91,,,,,,,,,,
South Ayrshire,2002,745,,,,,,,,,,
South Lanarkshire,2002,1038,,,,,,,,,,
Stirling,2002,764,,,,,,,,,,
West Dunbartonshire,2002,420,,,,,,,,,,
West Lothian,2002,608,,,,,,,,,,
Aberdeen City,2003,967,,,,,,,,,,
Aberdeenshire,2003,1063,,,,,,,,,,
Angus,2003,373,,,,,,,,,,
Argyll and Bute,2003,785,,,,,,,,,,
City of Edinburgh,2003,2712,,,,,,,,,,
Clackmannanshire,2003,151,,,,,,,,,,
Dumfries and Galloway,2003,6024,,,,,,,,,,
Dundee City,2003,584,,,,,,,,,,
East Ayrshire,2003,317,,,,,,,,,,
East Dunbartonshire,2003,326,,,,,,,,,,
East Lothian,2003,492,,,,,,,,,,
East Renfrewshire,2003,485,,,,,,,,,,
Falkirk,2003,641,,,,,,,,,,
Fife,2003,1873,,,,,,,,,,
Glasgow City,2003,2663,,,,,,,,,,
Highland,2003,1643,,,,,,,,,,
Inverclyde,2003,288,,,,,,,,,,
Midlothian,2003,651,,,,,,,,,,
Moray,2003,467,,,,,,,,,,
Na h-Eileanan Siar,2003,98,,,,,,,,,,
North Ayrshire,2003,646,,,,,,,,,,
North Lanarkshire,2003,1159,,,,,,,,,,
Orkney Islands,2003,124,,,,,,,,,,
Perth and Kinross,2003,938,,,,,,,,,,
Renfrewshire,2003,538,,,,,,,,,,
Scotland,2003,"30,757",,,,,,,,,,
Scottish Borders,2003,757,,,,,,,,,,
Shetland Islands,2003,91,,,,,,,,,,
