Council area,Registration Year,Standardised death rate,,,,
Na h-Eileanan Siar,1993,12.3,,,,
North Ayrshire,1993,13.3,,,,
North Lanarkshire,1993,14.2,,,,
Orkney Islands,1993,12.1,,,,
Perth and Kinross,1993,12,,,,
Renfrewshire,1993,13.3,,,,
Scotland,1993,12.6,,,,
Scottish Borders,1993,10.6,,,,
Shetland Islands,1993,13.2,,,,
South Ayrshire,1993,12.5,,,,
South Lanarkshire,1993,13.3,,,,
Stirling,1993,11.2,,,,
West Dunbartonshire,1993,12.9,,,,
West Lothian,1993,13,,,,
Aberdeen City,1994,10.9,,,,
Aberdeenshire,1994,10.2,,,,
Angus,1994,11.3,,,,
Argyll and Bute,1994,11.3,,,,
City of Edinburgh,1994,11,,,,
Clackmannanshire,1994,11.2,,,,
Dumfries and Galloway,1994,10.8,,,,
Dundee City,1994,11.2,,,,
East Ayrshire,1994,12.5,,,,
East Dunbartonshire,1994,10.2,,,,
East Lothian,1994,10.6,,,,
East Renfrewshire,1994,9.7,,,,
Falkirk,1994,12.5,,,,
Fife,1994,10.9,,,,
Glasgow City,1994,13.7,,,,
Highland,1994,11,,,,
Inverclyde,1994,13.3,,,,
Midlothian,1994,11,,,,
Moray,1994,10.8,,,,
Na h-Eileanan Siar,1994,11.5,,,,
North Ayrshire,1994,12.1,,,,
North Lanarkshire,1994,12.9,,,,
Orkney Islands,1994,11.1,,,,
Perth and Kinross,1994,11,,,,
Renfrewshire,1994,12.4,,,,
Scotland,1994,11.6,,,,
Scottish Borders,1994,10.3,,,,
Shetland Islands,1994,12.5,,,,
South Ayrshire,1994,10.8,,,,
South Lanarkshire,1994,12,,,,
Stirling,1994,11,,,,
West Dunbartonshire,1994,12.5,,,,
West Lothian,1994,11.2,,,,
Aberdeen City,1995,11.3,,,,
Aberdeenshire,1995,10.4,,,,
Angus,1995,11.3,,,,
Argyll and Bute,1995,11.4,,,,
City of Edinburgh,1995,11,,,,
Clackmannanshire,1995,11.4,,,,
Dumfries and Galloway,1995,10.3,,,,
Dundee City,1995,11.6,,,,
East Ayrshire,1995,12,,,,
East Dunbartonshire,1995,9.8,,,,
East Lothian,1995,11.1,,,,
East Renfrewshire,1995,10.4,,,,
Falkirk,1995,11.9,,,,
Fife,1995,11.2,,,,
Glasgow City,1995,14.4,,,,
Highland,1995,11.4,,,,
Inverclyde,1995,13.7,,,,
Midlothian,1995,12,,,,
Moray,1995,11.3,,,,
Na h-Eileanan Siar,1995,11.7,,,,
North Ayrshire,1995,12.1,,,,
North Lanarkshire,1995,13.2,,,,
Orkney Islands,1995,11.1,,,,
Perth and Kinross,1995,10.9,,,,
Renfrewshire,1995,12.3,,,,
Scotland,1995,11.9,,,,
Scottish Borders,1995,10.7,,,,
Shetland Islands,1995,11,,,,
South Ayrshire,1995,11.6,,,,
South Lanarkshire,1995,12.5,,,,
Stirling,1995,10.3,,,,
West Dunbartonshire,1995,12.6,,,,
West Lothian,1995,12.2,,,,
Aberdeen City,1996,11.3,,,,
Aberdeenshire,1996,9.7,,,,
Angus,1996,11.5,,,,
Argyll and Bute,1996,11.4,,,,
City of Edinburgh,1996,11.5,,,,
Clackmannanshire,1996,12.3,,,,
Dumfries and Galloway,1996,11,,,,
Dundee City,1996,12.2,,,,
East Ayrshire,1996,11.7,,,,
East Dunbartonshire,1996,10.3,,,,
East Lothian,1996,11.5,,,,
East Renfrewshire,1996,9.9,,,,
Falkirk,1996,12.2,,,,
Fife,1996,11.2,,,,
Glasgow City,1996,14.3,,,,
Highland,1996,11.1,,,,
Inverclyde,1996,14.2,,,,
Midlothian,1996,11.8,,,,
Moray,1996,10.4,,,,
Na h-Eileanan Siar,1996,12,,,,
North Ayrshire,1996,12,,,,
North Lanarkshire,1996,13.3,,,,
Orkney Islands,1996,10.7,,,,
Perth and Kinross,1996,10.6,,,,
Renfrewshire,1996,12.7,,,,
Scotland,1996,11.9,,,,
Scottish Borders,1996,10.5,,,,
Shetland Islands,1996,12,,,,
South Ayrshire,1996,10.9,,,,
South Lanarkshire,1996,12.5,,,,
Stirling,1996,11.3,,,,
West Dunbartonshire,1996,13.3,,,,
West Lothian,1996,12.7,,,,
Aberdeen City,1997,10.8,,,,
Aberdeenshire,1997,9.9,,,,
Angus,1997,10.5,,,,
Argyll and Bute,1997,11.3,,,,
City of Edinburgh,1997,11,,,,
Clackmannanshire,1997,11.7,,,,
Dumfries and Galloway,1997,10.6,,,,
Dundee City,1997,11.7,,,,
East Ayrshire,1997,13.3,,,,
East Dunbartonshire,1997,10.5,,,,
East Lothian,1997,11.3,,,,
East Renfrewshire,1997,9.9,,,,
Falkirk,1997,11.6,,,,
Fife,1997,10.9,,,,
Glasgow City,1997,13.8,,,,
Highland,1997,11.1,,,,
Inverclyde,1997,12.9,,,,
Midlothian,1997,11.3,,,,
Moray,1997,10.1,,,,
Na h-Eileanan Siar,1997,11.8,,,,
North Ayrshire,1997,12.2,,,,
North Lanarkshire,1997,13.2,,,,
Orkney Islands,1997,11.2,,,,
Perth and Kinross,1997,10.6,,,,
Renfrewshire,1997,12.6,,,,
Scotland,1997,11.7,,,,
