Council area,Year,Sex,Age group,Type,Life expectancy
Aberdeenshire,2001-03,Male,85 to 89,Estimate,5.207171625
Aberdeenshire,2001-03,Male,85 to 89,Lower_CI,4.891018287
Aberdeenshire,2001-03,Male,85 to 89,Upper_CI,5.523324962
Aberdeenshire,2001-03,Male,90 and over,Estimate,3.784615385
Aberdeenshire,2001-03,Male,90 and over,Lower_CI,3.324580095
Aberdeenshire,2001-03,Male,90 and over,Upper_CI,4.244650674
Aberdeenshire,2001-03,Female,0,Estimate,80.7896293
Aberdeenshire,2001-03,Female,0,Lower_CI,80.33925548
Aberdeenshire,2001-03,Female,0,Upper_CI,81.24000312
Aberdeenshire,2001-03,Female,1 to 4,Estimate,80.24145888
Aberdeenshire,2001-03,Female,1 to 4,Lower_CI,79.83697596
Aberdeenshire,2001-03,Female,1 to 4,Upper_CI,80.6459418
Aberdeenshire,2001-03,Female,5 to 9,Estimate,76.26223601
Aberdeenshire,2001-03,Female,5 to 9,Lower_CI,75.85970089
Aberdeenshire,2001-03,Female,5 to 9,Upper_CI,76.66477112
Aberdeenshire,2001-03,Female,10 to 14,Estimate,71.31304694
Aberdeenshire,2001-03,Female,10 to 14,Lower_CI,70.91436219
Aberdeenshire,2001-03,Female,10 to 14,Upper_CI,71.7117317
Aberdeenshire,2001-03,Female,15 to 19,Estimate,66.34177051
Aberdeenshire,2001-03,Female,15 to 19,Lower_CI,65.94491178
Aberdeenshire,2001-03,Female,15 to 19,Upper_CI,66.73862924
Aberdeenshire,2001-03,Female,20 to 24,Estimate,61.46593401
Aberdeenshire,2001-03,Female,20 to 24,Lower_CI,61.07774253
Aberdeenshire,2001-03,Female,20 to 24,Upper_CI,61.8541255
Aberdeenshire,2001-03,Female,25 to 29,Estimate,56.58255199
Aberdeenshire,2001-03,Female,25 to 29,Lower_CI,56.20497473
Aberdeenshire,2001-03,Female,25 to 29,Upper_CI,56.96012925
Aberdeenshire,2001-03,Female,30 to 34,Estimate,51.69100527
Aberdeenshire,2001-03,Female,30 to 34,Lower_CI,51.32131763
Aberdeenshire,2001-03,Female,30 to 34,Upper_CI,52.0606929
Aberdeenshire,2001-03,Female,35 to 39,Estimate,46.82852555
Aberdeenshire,2001-03,Female,35 to 39,Lower_CI,46.46489077
Aberdeenshire,2001-03,Female,35 to 39,Upper_CI,47.19216033
Aberdeenshire,2001-03,Female,40 to 44,Estimate,41.9438183
Aberdeenshire,2001-03,Female,40 to 44,Lower_CI,41.5839491
Aberdeenshire,2001-03,Female,40 to 44,Upper_CI,42.30368751
Aberdeenshire,2001-03,Female,45 to 49,Estimate,37.02875636
Aberdeenshire,2001-03,Female,45 to 49,Lower_CI,36.67133555
Aberdeenshire,2001-03,Female,45 to 49,Upper_CI,37.38617716
Aberdeenshire,2001-03,Female,50 to 54,Estimate,32.41308232
Aberdeenshire,2001-03,Female,50 to 54,Lower_CI,32.06539736
Aberdeenshire,2001-03,Female,50 to 54,Upper_CI,32.76076728
