Council area,Year,Type,Number,,,,,,,
South Ayrshire,2017,Not known,88,,,,,,,
South Ayrshire,2017,Semi-detached,13498,,,,,,,
South Ayrshire,2017,Terrace,12508,,,,,,,
South Ayrshire,2017,Total,55321,,,,,,,
South Lanarkshire,2017,Detached,31825,,,,,,,
South Lanarkshire,2017,Flat,45979,,,,,,,
South Lanarkshire,2017,Not known,478,,,,,,,
South Lanarkshire,2017,Semi-detached,30338,,,,,,,
South Lanarkshire,2017,Terrace,41823,,,,,,,
South Lanarkshire,2017,Total,150443,,,,,,,
Stirling,2017,Detached,12102,,,,,,,
Stirling,2017,Flat,10758,,,,,,,
Stirling,2017,Not known,1856,,,,,,,
Stirling,2017,Semi-detached,8906,,,,,,,
Stirling,2017,Terrace,7704,,,,,,,
Stirling,2017,Total,41326,,,,,,,
West Dunbartonshire,2017,Detached,4070,,,,,,,
West Dunbartonshire,2017,Flat,23074,,,,,,,
West Dunbartonshire,2017,Not known,131,,,,,,,
West Dunbartonshire,2017,Semi-detached,8580,,,,,,,
West Dunbartonshire,2017,Terrace,9219,,,,,,,
West Dunbartonshire,2017,Total,45074,,,,,,,
West Lothian,2017,Detached,19204,,,,,,,
West Lothian,2017,Flat,17638,,,,,,,
West Lothian,2017,Not known,52,,,,,,,
West Lothian,2017,Semi-detached,16456,,,,,,,
West Lothian,2017,Terrace,25793,,,,,,,
West Lothian,2017,Total,79143,,,,,,,
,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,
