Council area,Registration Year,Sex,Number of civil partnerships
Perth and Kinross,2008,All,13
Renfrewshire,2008,All,2
Scotland,2008,All,525
Scottish Borders,2008,All,11
Shetland Islands,2008,All,1
South Ayrshire,2008,All,7
South Lanarkshire,2008,All,10
Stirling,2008,All,8
West Dunbartonshire,2008,All,4
West Lothian,2008,All,6
Aberdeen City,2008,Female,5
Aberdeenshire,2008,Female,7
Angus,2008,Female,4
Argyll and Bute,2008,Female,8
City of Edinburgh,2008,Female,60
Clackmannanshire,2008,Female,3
Dumfries and Galloway,2008,Female,48
Dundee City,2008,Female,5
East Ayrshire,2008,Female,3
East Dunbartonshire,2008,Female,3
East Lothian,2008,Female,4
East Renfrewshire,2008,Female,4
Falkirk,2008,Female,9
Fife,2008,Female,9
Glasgow City,2008,Female,47
Highland,2008,Female,6
Inverclyde,2008,Female,1
Midlothian,2008,Female,4
Moray,2008,Female,3
Na h-Eileanan Siar,2008,Female,0
North Ayrshire,2008,Female,1
North Lanarkshire,2008,Female,3
Orkney Islands,2008,Female,2
Perth and Kinross,2008,Female,10
Renfrewshire,2008,Female,1
Scotland,2008,Female,280
Scottish Borders,2008,Female,5
Shetland Islands,2008,Female,0
South Ayrshire,2008,Female,6
South Lanarkshire,2008,Female,6
Stirling,2008,Female,5
West Dunbartonshire,2008,Female,4
West Lothian,2008,Female,4
Aberdeen City,2008,Male,6
Aberdeenshire,2008,Male,2
Angus,2008,Male,3
Argyll and Bute,2008,Male,3
City of Edinburgh,2008,Male,74
Clackmannanshire,2008,Male,2
Dumfries and Galloway,2008,Male,17
Dundee City,2008,Male,6
East Ayrshire,2008,Male,0
East Dunbartonshire,2008,Male,3
East Lothian,2008,Male,3
East Renfrewshire,2008,Male,2
Falkirk,2008,Male,5
Fife,2008,Male,9
Glasgow City,2008,Male,72
Highland,2008,Male,8
Inverclyde,2008,Male,0
Midlothian,2008,Male,0
Moray,2008,Male,2
Na h-Eileanan Siar,2008,Male,0
North Ayrshire,2008,Male,6
North Lanarkshire,2008,Male,1
Orkney Islands,2008,Male,0
Perth and Kinross,2008,Male,3
Renfrewshire,2008,Male,1
Scotland,2008,Male,245
Scottish Borders,2008,Male,6
Shetland Islands,2008,Male,1
South Ayrshire,2008,Male,1
South Lanarkshire,2008,Male,4
Stirling,2008,Male,3
West Dunbartonshire,2008,Male,0
West Lothian,2008,Male,2
Aberdeen City,2009,All,14
Aberdeenshire,2009,All,8
Angus,2009,All,2
Argyll and Bute,2009,All,16
City of Edinburgh,2009,All,122
Clackmannanshire,2009,All,0
Dumfries and Galloway,2009,All,43
Dundee City,2009,All,9
East Ayrshire,2009,All,5
East Dunbartonshire,2009,All,1
East Lothian,2009,All,10
East Renfrewshire,2009,All,7
Falkirk,2009,All,8
Fife,2009,All,22
Glasgow City,2009,All,111
Highland,2009,All,23
Inverclyde,2009,All,6
Midlothian,2009,All,4
Moray,2009,All,3
Na h-Eileanan Siar,2009,All,1
North Ayrshire,2009,All,10
North Lanarkshire,2009,All,7
Orkney Islands,2009,All,0
Perth and Kinross,2009,All,10
Renfrewshire,2009,All,4
Scotland,2009,All,498
Scottish Borders,2009,All,13
Shetland Islands,2009,All,0
South Ayrshire,2009,All,3
South Lanarkshire,2009,All,16
Stirling,2009,All,10
West Dunbartonshire,2009,All,5
West Lothian,2009,All,5
Aberdeen City,2009,Female,7
Aberdeenshire,2009,Female,3
Angus,2009,Female,1
Argyll and Bute,2009,Female,10
City of Edinburgh,2009,Female,64
Clackmannanshire,2009,Female,0
Dumfries and Galloway,2009,Female,36
Dundee City,2009,Female,7
East Ayrshire,2009,Female,3
East Dunbartonshire,2009,Female,1
East Lothian,2009,Female,5
East Renfrewshire,2009,Female,2
Falkirk,2009,Female,6
Fife,2009,Female,11
Glasgow City,2009,Female,49
Highland,2009,Female,14
Inverclyde,2009,Female,5
Midlothian,2009,Female,2
Moray,2009,Female,3
Na h-Eileanan Siar,2009,Female,0
North Ayrshire,2009,Female,5
North Lanarkshire,2009,Female,5
Orkney Islands,2009,Female,0
Perth and Kinross,2009,Female,5
Renfrewshire,2009,Female,0
Scotland,2009,Female,279
Scottish Borders,2009,Female,9
Shetland Islands,2009,Female,0
South Ayrshire,2009,Female,2
South Lanarkshire,2009,Female,10
Stirling,2009,Female,7
West Dunbartonshire,2009,Female,4
West Lothian,2009,Female,3
Aberdeen City,2009,Male,7
Aberdeenshire,2009,Male,5
Angus,2009,Male,1
Argyll and Bute,2009,Male,6
City of Edinburgh,2009,Male,58
Clackmannanshire,2009,Male,0
Dumfries and Galloway,2009,Male,7
Dundee City,2009,Male,2
East Ayrshire,2009,Male,2
East Dunbartonshire,2009,Male,0
East Lothian,2009,Male,5
East Renfrewshire,2009,Male,5
Falkirk,2009,Male,2
Fife,2009,Male,11
Glasgow City,2009,Male,62
Highland,2009,Male,9
Inverclyde,2009,Male,1
Midlothian,2009,Male,2
Moray,2009,Male,0
Na h-Eileanan Siar,2009,Male,1
North Ayrshire,2009,Male,5
North Lanarkshire,2009,Male,2
Orkney Islands,2009,Male,0
Perth and Kinross,2009,Male,5
Renfrewshire,2009,Male,4
Scotland,2009,Male,219
Scottish Borders,2009,Male,4
Shetland Islands,2009,Male,0
South Ayrshire,2009,Male,1
South Lanarkshire,2009,Male,6
Stirling,2009,Male,3
West Dunbartonshire,2009,Male,1
West Lothian,2009,Male,2
Aberdeen City,2010,All,18
Aberdeenshire,2010,All,9
Angus,2010,All,6
Argyll and Bute,2010,All,14
City of Edinburgh,2010,All,107
Clackmannanshire,2010,All,6
Dumfries and Galloway,2010,All,61
Dundee City,2010,All,16
East Ayrshire,2010,All,2
East Dunbartonshire,2010,All,4
East Lothian,2010,All,5
East Renfrewshire,2010,All,2
Falkirk,2010,All,7
Fife,2010,All,20
Glasgow City,2010,All,69
Highland,2010,All,20
Inverclyde,2010,All,1
Midlothian,2010,All,8
Moray,2010,All,6
Na h-Eileanan Siar,2010,All,0
North Ayrshire,2010,All,7
North Lanarkshire,2010,All,11
Orkney Islands,2010,All,0
Perth and Kinross,2010,All,15
Renfrewshire,2010,All,5
Scotland,2010,All,465
Scottish Borders,2010,All,7
Shetland Islands,2010,All,1
