Council area,Year,Sex,Type,Number
Angus,2003-04,Male,Out,1670
Angus,2003-04,Persons,In,4760
Angus,2003-04,Persons,Net,1340
Angus,2003-04,Persons,Out,3420
Angus,2004-05,Female,In,2370
Angus,2004-05,Female,Net,550
Angus,2004-05,Female,Out,1820
Angus,2004-05,Male,In,2190
Angus,2004-05,Male,Net,530
Angus,2004-05,Male,Out,1670
Angus,2004-05,Persons,In,4560
Angus,2004-05,Persons,Net,1070
Angus,2004-05,Persons,Out,3490
Angus,2005-06,Female,In,2310
Angus,2005-06,Female,Net,540
Angus,2005-06,Female,Out,1770
Angus,2005-06,Male,In,2140
Angus,2005-06,Male,Net,420
Angus,2005-06,Male,Out,1720
Angus,2005-06,Persons,In,4440
Angus,2005-06,Persons,Net,950
Angus,2005-06,Persons,Out,3490
Angus,2006-07,Female,In,2140
Angus,2006-07,Female,Net,380
Angus,2006-07,Female,Out,1760
Angus,2006-07,Male,In,2050
Angus,2006-07,Male,Net,380
Angus,2006-07,Male,Out,1670
Angus,2006-07,Persons,In,4180
Angus,2006-07,Persons,Net,760
Angus,2006-07,Persons,Out,3420
Angus,2007-08,Female,In,2250
Angus,2007-08,Female,Net,300
Angus,2007-08,Female,Out,1950
Angus,2007-08,Male,In,2040
Angus,2007-08,Male,Net,350
Angus,2007-08,Male,Out,1680
Angus,2007-08,Persons,In,4280
Angus,2007-08,Persons,Net,650
Angus,2007-08,Persons,Out,3630
Angus,2008-09,Female,In,1760
Angus,2008-09,Female,Net,60
Angus,2008-09,Female,Out,1700
Angus,2008-09,Male,In,1630
Angus,2008-09,Male,Net,90
Angus,2008-09,Male,Out,1540
Angus,2008-09,Persons,In,3390
Angus,2008-09,Persons,Net,150
Angus,2008-09,Persons,Out,3240
Angus,2009-10,Female,In,1940
Angus,2009-10,Female,Net,240
Angus,2009-10,Female,Out,1700
Angus,2009-10,Male,In,1730
Angus,2009-10,Male,Net,120
Angus,2009-10,Male,Out,1610
Angus,2009-10,Persons,In,3660
Angus,2009-10,Persons,Net,360
Angus,2009-10,Persons,Out,3310
Angus,2010-11,Female,In,1850
Angus,2010-11,Female,Net,10
Angus,2010-11,Female,Out,1840
Angus,2010-11,Male,In,1750
Angus,2010-11,Male,Net,100
Angus,2010-11,Male,Out,1650
Angus,2010-11,Persons,In,3600
Angus,2010-11,Persons,Net,120
Angus,2010-11,Persons,Out,3490
Angus,2011-12,Female,In,2020
Angus,2011-12,Female,Net,120
Angus,2011-12,Female,Out,1900
