Council area,Registration Year,Sex,Number,,,,
Dumfries and Galloway,1992,All people,1927,,,,
Dundee City,1992,All people,1997,,,,
East Ayrshire,1992,All people,1446,,,,
East Dunbartonshire,1992,All people,1013,,,,
East Lothian,1992,All people,1011,,,,
East Renfrewshire,1992,All people,833,,,,
Falkirk,1992,All people,1709,,,,
Fife,1992,All people,4051,,,,
Glasgow City,1992,All people,9012,,,,
Highland,1992,All people,2311,,,,
Inverclyde,1992,All people,1191,,,,
Midlothian,1992,All people,781,,,,
Moray,1992,All people,966,,,,
Na h-Eileanan Siar,1992,All people,415,,,,
North Ayrshire,1992,All people,1609,,,,
North Lanarkshire,1992,All people,3609,,,,
Orkney Islands,1992,All people,253,,,,
Perth and Kinross,1992,All people,1728,,,,
Renfrewshire,1992,All people,2139,,,,
Scotland,1992,All people,60937,,,,
Scottish Borders,1992,All people,1358,,,,
Shetland Islands,1992,All people,252,,,,
South Ayrshire,1992,All people,1430,,,,
South Lanarkshire,1992,All people,3336,,,,
Stirling,1992,All people,937,,,,
West Dunbartonshire,1992,All people,1238,,,,
West Lothian,1992,All people,1305,,,,
Aberdeen City,1992,Female,1223,,,,
Aberdeenshire,1992,Female,1088,,,,
Angus,1992,Female,784,,,,
Argyll and Bute,1992,Female,618,,,,
City of Edinburgh,1992,Female,2958,,,,
Clackmannanshire,1992,Female,266,,,,
Dumfries and Galloway,1992,Female,1023,,,,
Dundee City,1992,Female,1042,,,,
East Ayrshire,1992,Female,747,,,,
East Dunbartonshire,1992,Female,526,,,,
East Lothian,1992,Female,521,,,,
East Renfrewshire,1992,Female,443,,,,
Falkirk,1992,Female,896,,,,
Fife,1992,Female,2141,,,,
Glasgow City,1992,Female,4719,,,,
Highland,1992,Female,1107,,,,
Inverclyde,1992,Female,589,,,,
Midlothian,1992,Female,378,,,,
Moray,1992,Female,499,,,,
Na h-Eileanan Siar,1992,Female,195,,,,
North Ayrshire,1992,Female,822,,,,
North Lanarkshire,1992,Female,1850,,,,
Orkney Islands,1992,Female,126,,,,
Perth and Kinross,1992,Female,949,,,,
Renfrewshire,1992,Female,1073,,,,
Scotland,1992,Female,31603,,,,
Scottish Borders,1992,Female,707,,,,
Shetland Islands,1992,Female,130,,,,
South Ayrshire,1992,Female,801,,,,
South Lanarkshire,1992,Female,1697,,,,
Stirling,1992,Female,481,,,,
West Dunbartonshire,1992,Female,571,,,,
West Lothian,1992,Female,633,,,,
