Council area,Registration Year,Sex,Number,,,,
Angus,1998,All people,1336,,,,
Argyll and Bute,1998,All people,1301,,,,
City of Edinburgh,1998,All people,4892,,,,
Clackmannanshire,1998,All people,514,,,,
Dumfries and Galloway,1998,All people,1817,,,,
Dundee City,1998,All people,1942,,,,
East Ayrshire,1998,All people,1430,,,,
East Dunbartonshire,1998,All people,963,,,,
East Lothian,1998,All people,1058,,,,
East Renfrewshire,1998,All people,846,,,,
Falkirk,1998,All people,1618,,,,
Fife,1998,All people,3998,,,,
Glasgow City,1998,All people,8365,,,,
Highland,1998,All people,2405,,,,
Inverclyde,1998,All people,1172,,,,
Midlothian,1998,All people,873,,,,
Moray,1998,All people,910,,,,
Na h-Eileanan Siar,1998,All people,394,,,,
North Ayrshire,1998,All people,1635,,,,
North Lanarkshire,1998,All people,3475,,,,
Orkney Islands,1998,All people,245,,,,
Perth and Kinross,1998,All people,1654,,,,
Renfrewshire,1998,All people,2054,,,,
Scotland,1998,All people,59164,,,,
Scottish Borders,1998,All people,1335,,,,
Shetland Islands,1998,All people,242,,,,
South Ayrshire,1998,All people,1470,,,,
South Lanarkshire,1998,All people,3368,,,,
Stirling,1998,All people,905,,,,
West Dunbartonshire,1998,All people,1162,,,,
West Lothian,1998,All people,1477,,,,
Aberdeen City,1998,Female,1197,,,,
Aberdeenshire,1998,Female,1076,,,,
Angus,1998,Female,724,,,,
Argyll and Bute,1998,Female,713,,,,
City of Edinburgh,1998,Female,2712,,,,
Clackmannanshire,1998,Female,277,,,,
Dumfries and Galloway,1998,Female,943,,,,
Dundee City,1998,Female,1036,,,,
East Ayrshire,1998,Female,752,,,,
East Dunbartonshire,1998,Female,476,,,,
East Lothian,1998,Female,550,,,,
East Renfrewshire,1998,Female,457,,,,
Falkirk,1998,Female,850,,,,
Fife,1998,Female,2116,,,,
Glasgow City,1998,Female,4287,,,,
Highland,1998,Female,1228,,,,
Inverclyde,1998,Female,604,,,,
Midlothian,1998,Female,417,,,,
Moray,1998,Female,461,,,,
Na h-Eileanan Siar,1998,Female,190,,,,
North Ayrshire,1998,Female,872,,,,
North Lanarkshire,1998,Female,1812,,,,
Orkney Islands,1998,Female,119,,,,
Perth and Kinross,1998,Female,914,,,,
Renfrewshire,1998,Female,1063,,,,
Scotland,1998,Female,31032,,,,
Scottish Borders,1998,Female,735,,,,
Shetland Islands,1998,Female,121,,,,
South Ayrshire,1998,Female,785,,,,
South Lanarkshire,1998,Female,1728,,,,
Stirling,1998,Female,468,,,,
West Dunbartonshire,1998,Female,616,,,,
West Lothian,1998,Female,733,,,,
Aberdeen City,1998,Male,1011,,,,
Aberdeenshire,1998,Male,1024,,,,
Angus,1998,Male,612,,,,
Argyll and Bute,1998,Male,588,,,,
City of Edinburgh,1998,Male,2180,,,,
Clackmannanshire,1998,Male,237,,,,
Dumfries and Galloway,1998,Male,874,,,,
Dundee City,1998,Male,906,,,,
East Ayrshire,1998,Male,678,,,,
East Dunbartonshire,1998,Male,487,,,,
East Lothian,1998,Male,508,,,,
East Renfrewshire,1998,Male,389,,,,
Falkirk,1998,Male,768,,,,
Fife,1998,Male,1882,,,,
Glasgow City,1998,Male,4078,,,,
Highland,1998,Male,1177,,,,
Inverclyde,1998,Male,568,,,,
Midlothian,1998,Male,456,,,,
Moray,1998,Male,449,,,,
Na h-Eileanan Siar,1998,Male,204,,,,
North Ayrshire,1998,Male,763,,,,
North Lanarkshire,1998,Male,1663,,,,
Orkney Islands,1998,Male,126,,,,
Perth and Kinross,1998,Male,740,,,,
Renfrewshire,1998,Male,991,,,,
Scotland,1998,Male,28132,,,,
Scottish Borders,1998,Male,600,,,,
Shetland Islands,1998,Male,121,,,,
South Ayrshire,1998,Male,685,,,,
South Lanarkshire,1998,Male,1640,,,,
Stirling,1998,Male,437,,,,
West Dunbartonshire,1998,Male,546,,,,
West Lothian,1998,Male,744,,,,
Aberdeen City,1999,All people,2322,,,,
Aberdeenshire,1999,All people,2114,,,,
Angus,1999,All people,1430,,,,
Argyll and Bute,1999,All people,1237,,,,
City of Edinburgh,1999,All people,5036,,,,
Clackmannanshire,1999,All people,510,,,,
Dumfries and Galloway,1999,All people,1843,,,,
Dundee City,1999,All people,1914,,,,
East Ayrshire,1999,All people,1601,,,,
East Dunbartonshire,1999,All people,1010,,,,
East Lothian,1999,All people,1045,,,,
East Renfrewshire,1999,All people,825,,,,
Falkirk,1999,All people,1659,,,,
Fife,1999,All people,3924,,,,
Glasgow City,1999,All people,8441,,,,
Highland,1999,All people,2434,,,,
Inverclyde,1999,All people,1161,,,,
Midlothian,1999,All people,827,,,,
Moray,1999,All people,969,,,,
Na h-Eileanan Siar,1999,All people,405,,,,
North Ayrshire,1999,All people,1662,,,,
North Lanarkshire,1999,All people,3609,,,,
Orkney Islands,1999,All people,212,,,,
Perth and Kinross,1999,All people,1687,,,,
Renfrewshire,1999,All people,2150,,,,
Scotland,1999,All people,60281,,,,
Scottish Borders,1999,All people,1323,,,,
Shetland Islands,1999,All people,221,,,,
South Ayrshire,1999,All people,1446,,,,
South Lanarkshire,1999,All people,3536,,,,
Stirling,1999,All people,968,,,,
West Dunbartonshire,1999,All people,1229,,,,
West Lothian,1999,All people,1531,,,,
Aberdeen City,1999,Female,1223,,,,
Aberdeenshire,1999,Female,1121,,,,
Angus,1999,Female,809,,,,
Argyll and Bute,1999,Female,637,,,,
City of Edinburgh,1999,Female,2707,,,,
Clackmannanshire,1999,Female,244,,,,
Dumfries and Galloway,1999,Female,959,,,,
Dundee City,1999,Female,982,,,,
East Ayrshire,1999,Female,878,,,,
East Dunbartonshire,1999,Female,568,,,,
East Lothian,1999,Female,546,,,,
East Renfrewshire,1999,Female,468,,,,
Falkirk,1999,Female,863,,,,
Fife,1999,Female,2080,,,,
Glasgow City,1999,Female,4363,,,,
Highland,1999,Female,1201,,,,
Inverclyde,1999,Female,585,,,,
Midlothian,1999,Female,434,,,,
Moray,1999,Female,515,,,,
Na h-Eileanan Siar,1999,Female,190,,,,
North Ayrshire,1999,Female,919,,,,
North Lanarkshire,1999,Female,1814,,,,
Orkney Islands,1999,Female,91,,,,
Perth and Kinross,1999,Female,895,,,,
Renfrewshire,1999,Female,1099,,,,
Scotland,1999,Female,31676,,,,
Scottish Borders,1999,Female,729,,,,
Shetland Islands,1999,Female,104,,,,
South Ayrshire,1999,Female,780,,,,
South Lanarkshire,1999,Female,1873,,,,
Stirling,1999,Female,529,,,,
West Dunbartonshire,1999,Female,655,,,,
West Lothian,1999,Female,815,,,,
Aberdeen City,1999,Male,1099,,,,
Aberdeenshire,1999,Male,993,,,,
Angus,1999,Male,621,,,,
Argyll and Bute,1999,Male,600,,,,
City of Edinburgh,1999,Male,2329,,,,
Clackmannanshire,1999,Male,266,,,,
Dumfries and Galloway,1999,Male,884,,,,
Dundee City,1999,Male,932,,,,
East Ayrshire,1999,Male,723,,,,
East Dunbartonshire,1999,Male,442,,,,
East Lothian,1999,Male,499,,,,
East Renfrewshire,1999,Male,357,,,,
Falkirk,1999,Male,796,,,,
Fife,1999,Male,1844,,,,
Glasgow City,1999,Male,4078,,,,
Highland,1999,Male,1233,,,,
Inverclyde,1999,Male,576,,,,
Midlothian,1999,Male,393,,,,
Moray,1999,Male,454,,,,
Na h-Eileanan Siar,1999,Male,215,,,,
North Ayrshire,1999,Male,743,,,,
North Lanarkshire,1999,Male,1795,,,,
Orkney Islands,1999,Male,121,,,,
Perth and Kinross,1999,Male,792,,,,
Renfrewshire,1999,Male,1051,,,,
Scotland,1999,Male,28605,,,,
Scottish Borders,1999,Male,594,,,,
Shetland Islands,1999,Male,117,,,,
South Ayrshire,1999,Male,666,,,,
South Lanarkshire,1999,Male,1663,,,,
Stirling,1999,Male,439,,,,
West Dunbartonshire,1999,Male,574,,,,
West Lothian,1999,Male,716,,,,
Aberdeen City,2000,All people,2289,,,,
Aberdeenshire,2000,All people,2073,,,,
Angus,2000,All people,1364,,,,
Argyll and Bute,2000,All people,1162,,,,
City of Edinburgh,2000,All people,4813,,,,
Clackmannanshire,2000,All people,535,,,,
Dumfries and Galloway,2000,All people,1776,,,,
Dundee City,2000,All people,1830,,,,
East Ayrshire,2000,All people,1445,,,,
East Dunbartonshire,2000,All people,999,,,,
East Lothian,2000,All people,1062,,,,
East Renfrewshire,2000,All people,876,,,,
Falkirk,2000,All people,1630,,,,
Fife,2000,All people,3809,,,,
Glasgow City,2000,All people,7797,,,,
Highland,2000,All people,2410,,,,
Inverclyde,2000,All people,1164,,,,
Midlothian,2000,All people,845,,,,
Moray,2000,All people,956,,,,
Na h-Eileanan Siar,2000,All people,411,,,,
North Ayrshire,2000,All people,1642,,,,
North Lanarkshire,2000,All people,3439,,,,
Orkney Islands,2000,All people,195,,,,
Perth and Kinross,2000,All people,1529,,,,
Renfrewshire,2000,All people,2053,,,,
Scotland,2000,All people,57799,,,,
Scottish Borders,2000,All people,1305,,,,
Shetland Islands,2000,All people,177,,,,
South Ayrshire,2000,All people,1474,,,,
South Lanarkshire,2000,All people,3292,,,,
Stirling,2000,All people,890,,,,
West Dunbartonshire,2000,All people,1145,,,,
West Lothian,2000,All people,1412,,,,
Aberdeen City,2000,Female,1246,,,,
Aberdeenshire,2000,Female,1050,,,,
Angus,2000,Female,759,,,,
Argyll and Bute,2000,Female,641,,,,
City of Edinburgh,2000,Female,2618,,,,
Clackmannanshire,2000,Female,284,,,,
Dumfries and Galloway,2000,Female,917,,,,
Dundee City,2000,Female,955,,,,
East Ayrshire,2000,Female,781,,,,
East Dunbartonshire,2000,Female,492,,,,
East Lothian,2000,Female,606,,,,
East Renfrewshire,2000,Female,461,,,,
Falkirk,2000,Female,843,,,,
Fife,2000,Female,1999,,,,
Glasgow City,2000,Female,4050,,,,
Highland,2000,Female,1211,,,,
Inverclyde,2000,Female,622,,,,
Midlothian,2000,Female,422,,,,
Moray,2000,Female,491,,,,
Na h-Eileanan Siar,2000,Female,209,,,,
North Ayrshire,2000,Female,858,,,,
North Lanarkshire,2000,Female,1727,,,,
Orkney Islands,2000,Female,91,,,,
Perth and Kinross,2000,Female,787,,,,
Renfrewshire,2000,Female,1060,,,,
Scotland,2000,Female,30288,,,,
Scottish Borders,2000,Female,687,,,,
Shetland Islands,2000,Female,91,,,,
South Ayrshire,2000,Female,821,,,,
South Lanarkshire,2000,Female,1727,,,,
Stirling,2000,Female,484,,,,
West Dunbartonshire,2000,Female,604,,,,
West Lothian,2000,Female,694,,,,
Aberdeen City,2000,Male,1043,,,,
Aberdeenshire,2000,Male,1023,,,,
Angus,2000,Male,605,,,,
Argyll and Bute,2000,Male,521,,,,
City of Edinburgh,2000,Male,2195,,,,
Clackmannanshire,2000,Male,251,,,,
Dumfries and Galloway,2000,Male,859,,,,
Dundee City,2000,Male,875,,,,
East Ayrshire,2000,Male,664,,,,
East Dunbartonshire,2000,Male,507,,,,
East Lothian,2000,Male,456,,,,
East Renfrewshire,2000,Male,415,,,,
Falkirk,2000,Male,787,,,,
Fife,2000,Male,1810,,,,
Glasgow City,2000,Male,3747,,,,
Highland,2000,Male,1199,,,,
Inverclyde,2000,Male,542,,,,
Midlothian,2000,Male,423,,,,
Moray,2000,Male,465,,,,
Na h-Eileanan Siar,2000,Male,202,,,,
North Ayrshire,2000,Male,784,,,,
North Lanarkshire,2000,Male,1712,,,,
Orkney Islands,2000,Male,104,,,,
Perth and Kinross,2000,Male,742,,,,
Renfrewshire,2000,Male,993,,,,
Scotland,2000,Male,27511,,,,
Scottish Borders,2000,Male,618,,,,
Shetland Islands,2000,Male,86,,,,
South Ayrshire,2000,Male,653,,,,
South Lanarkshire,2000,Male,1565,,,,
Stirling,2000,Male,406,,,,
West Dunbartonshire,2000,Male,541,,,,
West Lothian,2000,Male,718,,,,
Aberdeen City,2001,All people,2190,,,,
Aberdeenshire,2001,All people,2064,,,,
Angus,2001,All people,1334,,,,
Argyll and Bute,2001,All people,1134,,,,
City of Edinburgh,2001,All people,4717,,,,
Clackmannanshire,2001,All people,520,,,,
Dumfries and Galloway,2001,All people,1777,,,,
Dundee City,2001,All people,1879,,,,
East Ayrshire,2001,All people,1507,,,,
East Dunbartonshire,2001,All people,941,,,,
East Lothian,2001,All people,983,,,,
East Renfrewshire,2001,All people,815,,,,
Falkirk,2001,All people,1574,,,,
Fife,2001,All people,3918,,,,
Glasgow City,2001,All people,7680,,,,
Highland,2001,All people,2413,,,,
Inverclyde,2001,All people,1109,,,,
Midlothian,2001,All people,839,,,,
Moray,2001,All people,936,,,,
Na h-Eileanan Siar,2001,All people,356,,,,
North Ayrshire,2001,All people,1638,,,,
North Lanarkshire,2001,All people,3440,,,,
Orkney Islands,2001,All people,229,,,,
Perth and Kinross,2001,All people,1540,,,,
Renfrewshire,2001,All people,2018,,,,
Scotland,2001,All people,57382,,,,
Scottish Borders,2001,All people,1282,,,,
Shetland Islands,2001,All people,224,,,,
South Ayrshire,2001,All people,1465,,,,
South Lanarkshire,2001,All people,3300,,,,
Stirling,2001,All people,939,,,,
West Dunbartonshire,2001,All people,1165,,,,
West Lothian,2001,All people,1456,,,,
Aberdeen City,2001,Female,1115,,,,
Aberdeenshire,2001,Female,1045,,,,
Angus,2001,Female,714,,,,
Argyll and Bute,2001,Female,588,,,,
City of Edinburgh,2001,Female,2471,,,,
Clackmannanshire,2001,Female,273,,,,
Dumfries and Galloway,2001,Female,917,,,,
Dundee City,2001,Female,986,,,,
East Ayrshire,2001,Female,794,,,,
East Dunbartonshire,2001,Female,500,,,,
East Lothian,2001,Female,540,,,,
East Renfrewshire,2001,Female,424,,,,
Falkirk,2001,Female,832,,,,
Fife,2001,Female,2102,,,,
Glasgow City,2001,Female,3932,,,,
Highland,2001,Female,1242,,,,
Inverclyde,2001,Female,568,,,,
Midlothian,2001,Female,445,,,,
Moray,2001,Female,478,,,,
Na h-Eileanan Siar,2001,Female,176,,,,
North Ayrshire,2001,Female,861,,,,
North Lanarkshire,2001,Female,1747,,,,
Orkney Islands,2001,Female,115,,,,
Perth and Kinross,2001,Female,837,,,,
Renfrewshire,2001,Female,1066,,,,
Scotland,2001,Female,30058,,,,
Scottish Borders,2001,Female,690,,,,
Shetland Islands,2001,Female,118,,,,
South Ayrshire,2001,Female,795,,,,
South Lanarkshire,2001,Female,1809,,,,
Stirling,2001,Female,521,,,,
West Dunbartonshire,2001,Female,629,,,,
West Lothian,2001,Female,728,,,,
Aberdeen City,2001,Male,1075,,,,
Aberdeenshire,2001,Male,1019,,,,
Angus,2001,Male,620,,,,
Argyll and Bute,2001,Male,546,,,,
City of Edinburgh,2001,Male,2246,,,,
Clackmannanshire,2001,Male,247,,,,
Dumfries and Galloway,2001,Male,860,,,,
Dundee City,2001,Male,893,,,,
East Ayrshire,2001,Male,713,,,,
East Dunbartonshire,2001,Male,441,,,,
East Lothian,2001,Male,443,,,,
East Renfrewshire,2001,Male,391,,,,
Falkirk,2001,Male,742,,,,
Fife,2001,Male,1816,,,,
Glasgow City,2001,Male,3748,,,,
Highland,2001,Male,1171,,,,
Inverclyde,2001,Male,541,,,,
Midlothian,2001,Male,394,,,,
Moray,2001,Male,458,,,,
Na h-Eileanan Siar,2001,Male,180,,,,
North Ayrshire,2001,Male,777,,,,
North Lanarkshire,2001,Male,1693,,,,
Orkney Islands,2001,Male,114,,,,
Perth and Kinross,2001,Male,703,,,,
Renfrewshire,2001,Male,952,,,,
Scotland,2001,Male,27324,,,,
Scottish Borders,2001,Male,592,,,,
Shetland Islands,2001,Male,106,,,,
South Ayrshire,2001,Male,670,,,,
South Lanarkshire,2001,Male,1491,,,,
Stirling,2001,Male,418,,,,
West Dunbartonshire,2001,Male,536,,,,
West Lothian,2001,Male,728,,,,
Aberdeen City,2002,All people,2208,,,,
Aberdeenshire,2002,All people,2074,,,,
Angus,2002,All people,1347,,,,
Argyll and Bute,2002,All people,1188,,,,
City of Edinburgh,2002,All people,4545,,,,
Clackmannanshire,2002,All people,511,,,,
Dumfries and Galloway,2002,All people,1789,,,,
Dundee City,2002,All people,1829,,,,
East Ayrshire,2002,All people,1427,,,,
East Dunbartonshire,2002,All people,1040,,,,
East Lothian,2002,All people,1036,,,,
East Renfrewshire,2002,All people,844,,,,
Falkirk,2002,All people,1711,,,,
Fife,2002,All people,4012,,,,
Glasgow City,2002,All people,7688,,,,
Highland,2002,All people,2381,,,,
Inverclyde,2002,All people,1137,,,,
Midlothian,2002,All people,917,,,,
Moray,2002,All people,971,,,,
Na h-Eileanan Siar,2002,All people,403,,,,
North Ayrshire,2002,All people,1622,,,,
North Lanarkshire,2002,All people,3489,,,,
Orkney Islands,2002,All people,211,,,,
Perth and Kinross,2002,All people,1594,,,,
Renfrewshire,2002,All people,2063,,,,
Scotland,2002,All people,58103,,,,
Scottish Borders,2002,All people,1384,,,,
Shetland Islands,2002,All people,214,,,,
South Ayrshire,2002,All people,1507,,,,
South Lanarkshire,2002,All people,3384,,,,
Stirling,2002,All people,905,,,,
West Dunbartonshire,2002,All people,1145,,,,
West Lothian,2002,All people,1527,,,,
Aberdeen City,2002,Female,1124,,,,
Aberdeenshire,2002,Female,1086,,,,
Angus,2002,Female,728,,,,
Argyll and Bute,2002,Female,649,,,,
City of Edinburgh,2002,Female,2459,,,,
Clackmannanshire,2002,Female,257,,,,
Dumfries and Galloway,2002,Female,938,,,,
Dundee City,2002,Female,938,,,,
East Ayrshire,2002,Female,755,,,,
East Dunbartonshire,2002,Female,573,,,,
East Lothian,2002,Female,547,,,,
East Renfrewshire,2002,Female,450,,,,
Falkirk,2002,Female,879,,,,
Fife,2002,Female,2119,,,,
Glasgow City,2002,Female,3904,,,,
Highland,2002,Female,1230,,,,
Inverclyde,2002,Female,554,,,,
Midlothian,2002,Female,485,,,,
Moray,2002,Female,480,,,,
Na h-Eileanan Siar,2002,Female,198,,,,
North Ayrshire,2002,Female,834,,,,
North Lanarkshire,2002,Female,1799,,,,
Orkney Islands,2002,Female,114,,,,
Perth and Kinross,2002,Female,876,,,,
Renfrewshire,2002,Female,1039,,,,
Scotland,2002,Female,30360,,,,
Scottish Borders,2002,Female,738,,,,
Shetland Islands,2002,Female,110,,,,
South Ayrshire,2002,Female,801,,,,
South Lanarkshire,2002,Female,1793,,,,
Stirling,2002,Female,478,,,,
West Dunbartonshire,2002,Female,593,,,,
West Lothian,2002,Female,832,,,,
Aberdeen City,2002,Male,1084,,,,
Aberdeenshire,2002,Male,988,,,,
Angus,2002,Male,619,,,,
Argyll and Bute,2002,Male,539,,,,
City of Edinburgh,2002,Male,2086,,,,
Clackmannanshire,2002,Male,254,,,,
Dumfries and Galloway,2002,Male,851,,,,
Dundee City,2002,Male,891,,,,
East Ayrshire,2002,Male,672,,,,
East Dunbartonshire,2002,Male,467,,,,
East Lothian,2002,Male,489,,,,
East Renfrewshire,2002,Male,394,,,,
Falkirk,2002,Male,832,,,,
Fife,2002,Male,1893,,,,
Glasgow City,2002,Male,3784,,,,
Highland,2002,Male,1151,,,,
Inverclyde,2002,Male,583,,,,
Midlothian,2002,Male,432,,,,
Moray,2002,Male,491,,,,
Na h-Eileanan Siar,2002,Male,205,,,,
North Ayrshire,2002,Male,788,,,,
North Lanarkshire,2002,Male,1690,,,,
Orkney Islands,2002,Male,97,,,,
Perth and Kinross,2002,Male,718,,,,
Renfrewshire,2002,Male,1024,,,,
Scotland,2002,Male,27743,,,,
Scottish Borders,2002,Male,646,,,,
Shetland Islands,2002,Male,104,,,,
South Ayrshire,2002,Male,706,,,,
South Lanarkshire,2002,Male,1591,,,,
Stirling,2002,Male,427,,,,
West Dunbartonshire,2002,Male,552,,,,
West Lothian,2002,Male,695,,,,
Aberdeen City,2003,All people,2176,,,,
Aberdeenshire,2003,All people,2134,,,,
Angus,2003,All people,1328,,,,
Argyll and Bute,2003,All people,1149,,,,
City of Edinburgh,2003,All people,4581,,,,
Clackmannanshire,2003,All people,495,,,,
Dumfries and Galloway,2003,All people,1912,,,,
Dundee City,2003,All people,1878,,,,
East Ayrshire,2003,All people,1538,,,,
East Dunbartonshire,2003,All people,1004,,,,
East Lothian,2003,All people,1086,,,,
East Renfrewshire,2003,All people,947,,,,
Falkirk,2003,All people,1655,,,,
Fife,2003,All people,3927,,,,
Glasgow City,2003,All people,7695,,,,
Highland,2003,All people,2406,,,,
Inverclyde,2003,All people,1110,,,,
Midlothian,2003,All people,819,,,,
Moray,2003,All people,956,,,,
Na h-Eileanan Siar,2003,All people,411,,,,
North Ayrshire,2003,All people,1636,,,,
North Lanarkshire,2003,All people,3568,,,,
Orkney Islands,2003,All people,206,,,,
Perth and Kinross,2003,All people,1641,,,,
Renfrewshire,2003,All people,2096,,,,
Scotland,2003,All people,58472,,,,
Scottish Borders,2003,All people,1419,,,,
Shetland Islands,2003,All people,227,,,,
South Ayrshire,2003,All people,1473,,,,
South Lanarkshire,2003,All people,3347,,,,
Stirling,2003,All people,913,,,,
West Dunbartonshire,2003,All people,1193,,,,
West Lothian,2003,All people,1546,,,,
Aberdeen City,2003,Female,1182,,,,
Aberdeenshire,2003,Female,1103,,,,
Angus,2003,Female,744,,,,
Argyll and Bute,2003,Female,606,,,,
City of Edinburgh,2003,Female,2430,,,,
Clackmannanshire,2003,Female,256,,,,
Dumfries and Galloway,2003,Female,986,,,,
Dundee City,2003,Female,980,,,,
East Ayrshire,2003,Female,818,,,,
East Dunbartonshire,2003,Female,552,,,,
East Lothian,2003,Female,606,,,,
East Renfrewshire,2003,Female,513,,,,
Falkirk,2003,Female,874,,,,
Fife,2003,Female,2104,,,,
Glasgow City,2003,Female,3914,,,,
Highland,2003,Female,1230,,,,
Inverclyde,2003,Female,538,,,,
Midlothian,2003,Female,432,,,,
Moray,2003,Female,477,,,,
Na h-Eileanan Siar,2003,Female,196,,,,
North Ayrshire,2003,Female,857,,,,
North Lanarkshire,2003,Female,1839,,,,
Orkney Islands,2003,Female,109,,,,
Perth and Kinross,2003,Female,902,,,,
Renfrewshire,2003,Female,1054,,,,
Scotland,2003,Female,30640,,,,
Scottish Borders,2003,Female,745,,,,
Shetland Islands,2003,Female,114,,,,
South Ayrshire,2003,Female,776,,,,
South Lanarkshire,2003,Female,1779,,,,
Stirling,2003,Female,499,,,,
West Dunbartonshire,2003,Female,620,,,,
West Lothian,2003,Female,805,,,,
Aberdeen City,2003,Male,994,,,,
Aberdeenshire,2003,Male,1031,,,,
Angus,2003,Male,584,,,,
Argyll and Bute,2003,Male,543,,,,
City of Edinburgh,2003,Male,2151,,,,
Clackmannanshire,2003,Male,239,,,,
Dumfries and Galloway,2003,Male,926,,,,
Dundee City,2003,Male,898,,,,
East Ayrshire,2003,Male,720,,,,
East Dunbartonshire,2003,Male,452,,,,
East Lothian,2003,Male,480,,,,
East Renfrewshire,2003,Male,434,,,,
Falkirk,2003,Male,781,,,,
Fife,2003,Male,1823,,,,
Glasgow City,2003,Male,3781,,,,
Highland,2003,Male,1176,,,,
Inverclyde,2003,Male,572,,,,
Midlothian,2003,Male,387,,,,
Moray,2003,Male,479,,,,
Na h-Eileanan Siar,2003,Male,215,,,,
North Ayrshire,2003,Male,779,,,,
North Lanarkshire,2003,Male,1729,,,,
Orkney Islands,2003,Male,97,,,,
Perth and Kinross,2003,Male,739,,,,
Renfrewshire,2003,Male,1042,,,,
Scotland,2003,Male,27832,,,,
Scottish Borders,2003,Male,674,,,,
Shetland Islands,2003,Male,113,,,,
South Ayrshire,2003,Male,697,,,,
South Lanarkshire,2003,Male,1568,,,,
Stirling,2003,Male,414,,,,
West Dunbartonshire,2003,Male,573,,,,
West Lothian,2003,Male,741,,,,
Aberdeen City,2004,All people,2143,,,,
Aberdeenshire,2004,All people,2152,,,,
Angus,2004,All people,1330,,,,
Argyll and Bute,2004,All people,1131,,,,
City of Edinburgh,2004,All people,4387,,,,
Clackmannanshire,2004,All people,508,,,,
Dumfries and Galloway,2004,All people,1855,,,,
Dundee City,2004,All people,1754,,,,
East Ayrshire,2004,All people,1359,,,,
East Dunbartonshire,2004,All people,972,,,,
East Lothian,2004,All people,996,,,,
East Renfrewshire,2004,All people,868,,,,
Falkirk,2004,All people,1626,,,,
Fife,2004,All people,3851,,,,
Glasgow City,2004,All people,7251,,,,
Highland,2004,All people,2357,,,,
Inverclyde,2004,All people,1073,,,,
Midlothian,2004,All people,796,,,,
Moray,2004,All people,916,,,,
Na h-Eileanan Siar,2004,All people,352,,,,
North Ayrshire,2004,All people,1618,,,,
North Lanarkshire,2004,All people,3422,,,,
Orkney Islands,2004,All people,217,,,,
Perth and Kinross,2004,All people,1616,,,,
Renfrewshire,2004,All people,2012,,,,
Scotland,2004,All people,56187,,,,
Scottish Borders,2004,All people,1301,,,,
Shetland Islands,2004,All people,205,,,,
South Ayrshire,2004,All people,1401,,,,
South Lanarkshire,2004,All people,3388,,,,
Stirling,2004,All people,868,,,,
West Dunbartonshire,2004,All people,1112,,,,
West Lothian,2004,All people,1350,,,,
Aberdeen City,2004,Female,1131,,,,
Aberdeenshire,2004,Female,1113,,,,
Angus,2004,Female,721,,,,
Argyll and Bute,2004,Female,563,,,,
City of Edinburgh,2004,Female,2321,,,,
Clackmannanshire,2004,Female,252,,,,
Dumfries and Galloway,2004,Female,996,,,,
Dundee City,2004,Female,904,,,,
East Ayrshire,2004,Female,751,,,,
East Dunbartonshire,2004,Female,501,,,,
East Lothian,2004,Female,524,,,,
East Renfrewshire,2004,Female,489,,,,
Falkirk,2004,Female,873,,,,
Fife,2004,Female,2011,,,,
Glasgow City,2004,Female,3684,,,,
Highland,2004,Female,1166,,,,
Inverclyde,2004,Female,553,,,,
Midlothian,2004,Female,412,,,,
Moray,2004,Female,503,,,,
Na h-Eileanan Siar,2004,Female,165,,,,
North Ayrshire,2004,Female,857,,,,
North Lanarkshire,2004,Female,1812,,,,
Orkney Islands,2004,Female,108,,,,
Perth and Kinross,2004,Female,859,,,,
Renfrewshire,2004,Female,1057,,,,
Scotland,2004,Female,29412,,,,
Scottish Borders,2004,Female,717,,,,
Shetland Islands,2004,Female,111,,,,
South Ayrshire,2004,Female,754,,,,
South Lanarkshire,2004,Female,1765,,,,
Stirling,2004,Female,453,,,,
West Dunbartonshire,2004,Female,580,,,,
West Lothian,2004,Female,706,,,,
Aberdeen City,2004,Male,1012,,,,
Aberdeenshire,2004,Male,1039,,,,
Angus,2004,Male,609,,,,
Argyll and Bute,2004,Male,568,,,,
City of Edinburgh,2004,Male,2066,,,,
Clackmannanshire,2004,Male,256,,,,
Dumfries and Galloway,2004,Male,859,,,,
Dundee City,2004,Male,850,,,,
East Ayrshire,2004,Male,608,,,,
East Dunbartonshire,2004,Male,471,,,,
East Lothian,2004,Male,472,,,,
East Renfrewshire,2004,Male,379,,,,
Falkirk,2004,Male,753,,,,
Fife,2004,Male,1840,,,,
Glasgow City,2004,Male,3567,,,,
Highland,2004,Male,1191,,,,
Inverclyde,2004,Male,520,,,,
Midlothian,2004,Male,384,,,,
Moray,2004,Male,413,,,,
Na h-Eileanan Siar,2004,Male,187,,,,
North Ayrshire,2004,Male,761,,,,
North Lanarkshire,2004,Male,1610,,,,
Orkney Islands,2004,Male,109,,,,
Perth and Kinross,2004,Male,757,,,,
Renfrewshire,2004,Male,955,,,,
Scotland,2004,Male,26775,,,,
Scottish Borders,2004,Male,584,,,,
Shetland Islands,2004,Male,94,,,,
South Ayrshire,2004,Male,647,,,,
South Lanarkshire,2004,Male,1623,,,,
Stirling,2004,Male,415,,,,
West Dunbartonshire,2004,Male,532,,,,
West Lothian,2004,Male,644,,,,
Aberdeen City,2005,All people,2121,,,,
Aberdeenshire,2005,All people,2048,,,,
Angus,2005,All people,1351,,,,
Argyll and Bute,2005,All people,1080,,,,
City of Edinburgh,2005,All people,4475,,,,
Clackmannanshire,2005,All people,543,,,,
Dumfries and Galloway,2005,All people,1847,,,,
