Council area,Year,Sex,Age group,Number
Glasgow City,2003-04,Female,35 to 39,-560
Glasgow City,2003-04,Female,40 to 44,-238
Glasgow City,2003-04,Female,45 to 49,-130
Glasgow City,2003-04,Female,5 to 9,-199
Glasgow City,2003-04,Female,50 to 54,-61
Glasgow City,2003-04,Female,55 to 59,-87
Glasgow City,2003-04,Female,60 to 64,-105
Glasgow City,2003-04,Female,65 to 69,-69
Glasgow City,2003-04,Female,70 to 74,-42
Glasgow City,2003-04,Female,75 to 79,-87
Glasgow City,2003-04,Female,80 to 84,-114
Glasgow City,2003-04,Female,85 to 89,-86
Glasgow City,2003-04,Female,90 and over,-72
Glasgow City,2003-04,Female,All ages,-1936
Glasgow City,2003-04,Male,0 to 4,-408
Glasgow City,2003-04,Male,10 to 14,-147
Glasgow City,2003-04,Male,15 to 19,868
Glasgow City,2003-04,Male,20 to 24,660
Glasgow City,2003-04,Male,25 to 29,-149
Glasgow City,2003-04,Male,30 to 34,-469
Glasgow City,2003-04,Male,35 to 39,-545
Glasgow City,2003-04,Male,40 to 44,-307
Glasgow City,2003-04,Male,45 to 49,-202
Glasgow City,2003-04,Male,5 to 9,-274
Glasgow City,2003-04,Male,50 to 54,-77
Glasgow City,2003-04,Male,55 to 59,-90
Glasgow City,2003-04,Male,60 to 64,-99
Glasgow City,2003-04,Male,65 to 69,-86
Glasgow City,2003-04,Male,70 to 74,-67
Glasgow City,2003-04,Male,75 to 79,-29
Glasgow City,2003-04,Male,80 to 84,-33
Glasgow City,2003-04,Male,85 to 89,-7
Glasgow City,2003-04,Male,90 and over,-21
Glasgow City,2003-04,Male,All ages,-1482
Glasgow City,2004-05,Female,0 to 4,-354
Glasgow City,2004-05,Female,10 to 14,-133
Glasgow City,2004-05,Female,15 to 19,1265
Glasgow City,2004-05,Female,20 to 24,503
Glasgow City,2004-05,Female,25 to 29,-229
Glasgow City,2004-05,Female,30 to 34,-703
Glasgow City,2004-05,Female,35 to 39,-431
Glasgow City,2004-05,Female,40 to 44,-189
Glasgow City,2004-05,Female,45 to 49,-57
Glasgow City,2004-05,Female,5 to 9,-234
Glasgow City,2004-05,Female,50 to 54,-9
Glasgow City,2004-05,Female,55 to 59,-57
Glasgow City,2004-05,Female,60 to 64,-77
Glasgow City,2004-05,Female,65 to 69,-103
Glasgow City,2004-05,Female,70 to 74,-56
Glasgow City,2004-05,Female,75 to 79,-78
Glasgow City,2004-05,Female,80 to 84,-91
Glasgow City,2004-05,Female,85 to 89,-75
Glasgow City,2004-05,Female,90 and over,-52
Glasgow City,2004-05,Female,All ages,-1160
Glasgow City,2004-05,Male,0 to 4,-326
Glasgow City,2004-05,Male,10 to 14,-117
Glasgow City,2004-05,Male,15 to 19,935
Glasgow City,2004-05,Male,20 to 24,859
Glasgow City,2004-05,Male,25 to 29,34
Glasgow City,2004-05,Male,30 to 34,-269
Glasgow City,2004-05,Male,35 to 39,-471
Glasgow City,2004-05,Male,40 to 44,-280
Glasgow City,2004-05,Male,45 to 49,-148
Glasgow City,2004-05,Male,5 to 9,-218
Glasgow City,2004-05,Male,50 to 54,-49
Glasgow City,2004-05,Male,55 to 59,-77
Glasgow City,2004-05,Male,60 to 64,-31
Glasgow City,2004-05,Male,65 to 69,-40
Glasgow City,2004-05,Male,70 to 74,-66
Glasgow City,2004-05,Male,75 to 79,-44
Glasgow City,2004-05,Male,80 to 84,-32
Glasgow City,2004-05,Male,85 to 89,-37
Glasgow City,2004-05,Male,90 and over,-21
Glasgow City,2004-05,Male,All ages,-398
Glasgow City,2005-06,Female,0 to 4,-349
Glasgow City,2005-06,Female,10 to 14,-149
Glasgow City,2005-06,Female,15 to 19,1376
Glasgow City,2005-06,Female,20 to 24,558
Glasgow City,2005-06,Female,25 to 29,-255
Glasgow City,2005-06,Female,30 to 34,-710
Glasgow City,2005-06,Female,35 to 39,-474
Glasgow City,2005-06,Female,40 to 44,-156
Glasgow City,2005-06,Female,45 to 49,-57
Glasgow City,2005-06,Female,5 to 9,-196
Glasgow City,2005-06,Female,50 to 54,-41
Glasgow City,2005-06,Female,55 to 59,-53
Glasgow City,2005-06,Female,60 to 64,-116
Glasgow City,2005-06,Female,65 to 69,-54
Glasgow City,2005-06,Female,70 to 74,-65
Glasgow City,2005-06,Female,75 to 79,-86
Glasgow City,2005-06,Female,80 to 84,-75
Glasgow City,2005-06,Female,85 to 89,-76
Glasgow City,2005-06,Female,90 and over,-47
Glasgow City,2005-06,Female,All ages,-1025
Glasgow City,2005-06,Male,0 to 4,-391
Glasgow City,2005-06,Male,10 to 14,-82
Glasgow City,2005-06,Male,15 to 19,951
Glasgow City,2005-06,Male,20 to 24,718
Glasgow City,2005-06,Male,25 to 29,-21
Glasgow City,2005-06,Male,30 to 34,-547
Glasgow City,2005-06,Male,35 to 39,-493
Glasgow City,2005-06,Male,40 to 44,-324
Glasgow City,2005-06,Male,45 to 49,-116
Glasgow City,2005-06,Male,5 to 9,-272
Glasgow City,2005-06,Male,50 to 54,-28
Glasgow City,2005-06,Male,55 to 59,-80
Glasgow City,2005-06,Male,60 to 64,-87
Glasgow City,2005-06,Male,65 to 69,-62
Glasgow City,2005-06,Male,70 to 74,-22
Glasgow City,2005-06,Male,75 to 79,-35
Glasgow City,2005-06,Male,80 to 84,-45
Glasgow City,2005-06,Male,85 to 89,-23
Glasgow City,2005-06,Male,90 and over,-4
Glasgow City,2005-06,Male,All ages,-963
Glasgow City,2006-07,Female,0 to 4,-181
Glasgow City,2006-07,Female,10 to 14,-78
Glasgow City,2006-07,Female,15 to 19,1243
Glasgow City,2006-07,Female,20 to 24,744
Glasgow City,2006-07,Female,25 to 29,232
Glasgow City,2006-07,Female,30 to 34,-267
Glasgow City,2006-07,Female,35 to 39,-271
Glasgow City,2006-07,Female,40 to 44,-177
Glasgow City,2006-07,Female,45 to 49,-31
Glasgow City,2006-07,Female,5 to 9,-28
Glasgow City,2006-07,Female,50 to 54,-40
Glasgow City,2006-07,Female,55 to 59,-27
Glasgow City,2006-07,Female,60 to 64,-55
Glasgow City,2006-07,Female,65 to 69,-32
Glasgow City,2006-07,Female,70 to 74,-51
Glasgow City,2006-07,Female,75 to 79,-25
Glasgow City,2006-07,Female,80 to 84,-71
Glasgow City,2006-07,Female,85 to 89,-82
Glasgow City,2006-07,Female,90 and over,-66
Glasgow City,2006-07,Female,All ages,737
Glasgow City,2006-07,Male,0 to 4,-208
Glasgow City,2006-07,Male,10 to 14,-27
Glasgow City,2006-07,Male,15 to 19,966
Glasgow City,2006-07,Male,20 to 24,1189
Glasgow City,2006-07,Male,25 to 29,600
Glasgow City,2006-07,Male,30 to 34,-53
Glasgow City,2006-07,Male,35 to 39,-303
Glasgow City,2006-07,Male,40 to 44,-169
Glasgow City,2006-07,Male,45 to 49,-72
Glasgow City,2006-07,Male,5 to 9,-69
Glasgow City,2006-07,Male,50 to 54,-76
Glasgow City,2006-07,Male,55 to 59,-51
Glasgow City,2006-07,Male,60 to 64,-46
Glasgow City,2006-07,Male,65 to 69,-7
Glasgow City,2006-07,Male,70 to 74,-40
Glasgow City,2006-07,Male,75 to 79,-12
Glasgow City,2006-07,Male,80 to 84,-22
Glasgow City,2006-07,Male,85 to 89,-20
Glasgow City,2006-07,Male,90 and over,-14
Glasgow City,2006-07,Male,All ages,1566
Glasgow City,2007-08,Female,0 to 4,-177
Glasgow City,2007-08,Female,10 to 14,-76
Glasgow City,2007-08,Female,15 to 19,1277
Glasgow City,2007-08,Female,20 to 24,790
Glasgow City,2007-08,Female,25 to 29,377
Glasgow City,2007-08,Female,30 to 34,-190
Glasgow City,2007-08,Female,35 to 39,-319
Glasgow City,2007-08,Female,40 to 44,-109
Glasgow City,2007-08,Female,45 to 49,-30
Glasgow City,2007-08,Female,5 to 9,-117
Glasgow City,2007-08,Female,50 to 54,24
Glasgow City,2007-08,Female,55 to 59,-30
Glasgow City,2007-08,Female,60 to 64,-59
Glasgow City,2007-08,Female,65 to 69,-52
Glasgow City,2007-08,Female,70 to 74,-21
Glasgow City,2007-08,Female,75 to 79,-49
Glasgow City,2007-08,Female,80 to 84,-64
Glasgow City,2007-08,Female,85 to 89,-59
Glasgow City,2007-08,Female,90 and over,-46
Glasgow City,2007-08,Female,All ages,1070
Glasgow City,2007-08,Male,0 to 4,-150
Glasgow City,2007-08,Male,10 to 14,-31
Glasgow City,2007-08,Male,15 to 19,970
Glasgow City,2007-08,Male,20 to 24,1204
Glasgow City,2007-08,Male,25 to 29,616
Glasgow City,2007-08,Male,30 to 34,37
Glasgow City,2007-08,Male,35 to 39,-277
Glasgow City,2007-08,Male,40 to 44,-177
Glasgow City,2007-08,Male,45 to 49,-20
Glasgow City,2007-08,Male,5 to 9,-125
Glasgow City,2007-08,Male,50 to 54,-41
Glasgow City,2007-08,Male,55 to 59,-4
Glasgow City,2007-08,Male,60 to 64,-35
Glasgow City,2007-08,Male,65 to 69,-15
Glasgow City,2007-08,Male,70 to 74,-21
Glasgow City,2007-08,Male,75 to 79,-25
Glasgow City,2007-08,Male,80 to 84,-19
Glasgow City,2007-08,Male,85 to 89,-12
Glasgow City,2007-08,Male,90 and over,-16
Glasgow City,2007-08,Male,All ages,1859
Glasgow City,2008-09,Female,0 to 4,-48
Glasgow City,2008-09,Female,10 to 14,-61
Glasgow City,2008-09,Female,15 to 19,1084
Glasgow City,2008-09,Female,20 to 24,867
Glasgow City,2008-09,Female,25 to 29,315
Glasgow City,2008-09,Female,30 to 34,-110
Glasgow City,2008-09,Female,35 to 39,-151
Glasgow City,2008-09,Female,40 to 44,-113
Glasgow City,2008-09,Female,45 to 49,-53
Glasgow City,2008-09,Female,5 to 9,-28
Glasgow City,2008-09,Female,50 to 54,4
Glasgow City,2008-09,Female,55 to 59,-3
Glasgow City,2008-09,Female,60 to 64,-45
Glasgow City,2008-09,Female,65 to 69,-27
Glasgow City,2008-09,Female,70 to 74,-19
Glasgow City,2008-09,Female,75 to 79,-41
Glasgow City,2008-09,Female,80 to 84,-27
Glasgow City,2008-09,Female,85 to 89,-60
Glasgow City,2008-09,Female,90 and over,-38
Glasgow City,2008-09,Female,All ages,1446
Glasgow City,2008-09,Male,0 to 4,-121
Glasgow City,2008-09,Male,10 to 14,-39
Glasgow City,2008-09,Male,15 to 19,964
Glasgow City,2008-09,Male,20 to 24,1356
Glasgow City,2008-09,Male,25 to 29,803
Glasgow City,2008-09,Male,30 to 34,164
Glasgow City,2008-09,Male,35 to 39,-129
Glasgow City,2008-09,Male,40 to 44,-99
Glasgow City,2008-09,Male,45 to 49,-98
Glasgow City,2008-09,Male,5 to 9,-150
Glasgow City,2008-09,Male,50 to 54,34
Glasgow City,2008-09,Male,55 to 59,-19
Glasgow City,2008-09,Male,60 to 64,-24
Glasgow City,2008-09,Male,65 to 69,-23
Glasgow City,2008-09,Male,70 to 74,11
Glasgow City,2008-09,Male,75 to 79,-29
Glasgow City,2008-09,Male,80 to 84,-23
Glasgow City,2008-09,Male,85 to 89,-22
Glasgow City,2008-09,Male,90 and over,-13
Glasgow City,2008-09,Male,All ages,2543
Glasgow City,2009-10,Female,0 to 4,-228
Glasgow City,2009-10,Female,10 to 14,-106
Glasgow City,2009-10,Female,15 to 19,1246
Glasgow City,2009-10,Female,20 to 24,1212
Glasgow City,2009-10,Female,25 to 29,217
Glasgow City,2009-10,Female,30 to 34,-292
Glasgow City,2009-10,Female,35 to 39,-288
Glasgow City,2009-10,Female,40 to 44,-161
Glasgow City,2009-10,Female,45 to 49,-31
Glasgow City,2009-10,Female,5 to 9,-136
Glasgow City,2009-10,Female,50 to 54,-42
Glasgow City,2009-10,Female,55 to 59,-33
Glasgow City,2009-10,Female,60 to 64,-30
Glasgow City,2009-10,Female,65 to 69,-35
Glasgow City,2009-10,Female,70 to 74,-32
Glasgow City,2009-10,Female,75 to 79,-39
Glasgow City,2009-10,Female,80 to 84,-49
Glasgow City,2009-10,Female,85 to 89,-48
Glasgow City,2009-10,Female,90 and over,-48
Glasgow City,2009-10,Female,All ages,1077
Glasgow City,2009-10,Male,0 to 4,-219
Glasgow City,2009-10,Male,10 to 14,-39
Glasgow City,2009-10,Male,15 to 19,918
Glasgow City,2009-10,Male,20 to 24,1534
Glasgow City,2009-10,Male,25 to 29,564
Glasgow City,2009-10,Male,30 to 34,69
Glasgow City,2009-10,Male,35 to 39,-239
Glasgow City,2009-10,Male,40 to 44,-173
Glasgow City,2009-10,Male,45 to 49,-137
Glasgow City,2009-10,Male,5 to 9,-148
Glasgow City,2009-10,Male,50 to 54,-2
Glasgow City,2009-10,Male,55 to 59,-2
Glasgow City,2009-10,Male,60 to 64,-54
Glasgow City,2009-10,Male,65 to 69,-44
Glasgow City,2009-10,Male,70 to 74,-13
Glasgow City,2009-10,Male,75 to 79,-30
Glasgow City,2009-10,Male,80 to 84,-9
Glasgow City,2009-10,Male,85 to 89,0
Glasgow City,2009-10,Male,90 and over,-3
Glasgow City,2009-10,Male,All ages,1973
Glasgow City,2010-11,Female,0 to 4,-145
Glasgow City,2010-11,Female,10 to 14,29
Glasgow City,2010-11,Female,15 to 19,1300
Glasgow City,2010-11,Female,20 to 24,1602
Glasgow City,2010-11,Female,25 to 29,346
Glasgow City,2010-11,Female,30 to 34,-207
Glasgow City,2010-11,Female,35 to 39,-125
Glasgow City,2010-11,Female,40 to 44,-99
Glasgow City,2010-11,Female,45 to 49,-27
Glasgow City,2010-11,Female,5 to 9,-85
Glasgow City,2010-11,Female,50 to 54,18
Glasgow City,2010-11,Female,55 to 59,12
Glasgow City,2010-11,Female,60 to 64,-8
Glasgow City,2010-11,Female,65 to 69,-15
Glasgow City,2010-11,Female,70 to 74,6
Glasgow City,2010-11,Female,75 to 79,-35
Glasgow City,2010-11,Female,80 to 84,-55
Glasgow City,2010-11,Female,85 to 89,-50
Glasgow City,2010-11,Female,90 and over,-56
Glasgow City,2010-11,Female,All ages,2406
Glasgow City,2010-11,Male,0 to 4,-146
Glasgow City,2010-11,Male,10 to 14,-20
Glasgow City,2010-11,Male,15 to 19,972
Glasgow City,2010-11,Male,20 to 24,1621
Glasgow City,2010-11,Male,25 to 29,898
Glasgow City,2010-11,Male,30 to 34,137
Glasgow City,2010-11,Male,35 to 39,-96
Glasgow City,2010-11,Male,40 to 44,-87
Glasgow City,2010-11,Male,45 to 49,-85
Glasgow City,2010-11,Male,5 to 9,-125
Glasgow City,2010-11,Male,50 to 54,26
Glasgow City,2010-11,Male,55 to 59,-23
Glasgow City,2010-11,Male,60 to 64,-44
Glasgow City,2010-11,Male,65 to 69,-36
Glasgow City,2010-11,Male,70 to 74,-19
Glasgow City,2010-11,Male,75 to 79,3
Glasgow City,2010-11,Male,80 to 84,-2
Glasgow City,2010-11,Male,85 to 89,-5
Glasgow City,2010-11,Male,90 and over,-5
Glasgow City,2010-11,Male,All ages,2964
Glasgow City,2011-12,Female,0 to 4,-353
Glasgow City,2011-12,Female,10 to 14,-60
Glasgow City,2011-12,Female,15 to 19,1157
Glasgow City,2011-12,Female,20 to 24,1251
Glasgow City,2011-12,Female,25 to 29,30
Glasgow City,2011-12,Female,30 to 34,-436
Glasgow City,2011-12,Female,35 to 39,-331
Glasgow City,2011-12,Female,40 to 44,-157
Glasgow City,2011-12,Female,45 to 49,-51
Glasgow City,2011-12,Female,5 to 9,-192
Glasgow City,2011-12,Female,50 to 54,-16
Glasgow City,2011-12,Female,55 to 59,-45
Glasgow City,2011-12,Female,60 to 64,-28
Glasgow City,2011-12,Female,65 to 69,-71
Glasgow City,2011-12,Female,70 to 74,-25
Glasgow City,2011-12,Female,75 to 79,-21
Glasgow City,2011-12,Female,80 to 84,-45
Glasgow City,2011-12,Female,85 to 89,-38
Glasgow City,2011-12,Female,90 and over,-35
Glasgow City,2011-12,Female,All ages,534
Glasgow City,2011-12,Male,0 to 4,-284
Glasgow City,2011-12,Male,10 to 14,-92
Glasgow City,2011-12,Male,15 to 19,742
Glasgow City,2011-12,Male,20 to 24,1181
Glasgow City,2011-12,Male,25 to 29,331
Glasgow City,2011-12,Male,30 to 34,-232
Glasgow City,2011-12,Male,35 to 39,-353
Glasgow City,2011-12,Male,40 to 44,-191
Glasgow City,2011-12,Male,45 to 49,-155
Glasgow City,2011-12,Male,5 to 9,-125
Glasgow City,2011-12,Male,50 to 54,-73
Glasgow City,2011-12,Male,55 to 59,-35
Glasgow City,2011-12,Male,60 to 64,-16
Glasgow City,2011-12,Male,65 to 69,-31
Glasgow City,2011-12,Male,70 to 74,-20
Glasgow City,2011-12,Male,75 to 79,-21
Glasgow City,2011-12,Male,80 to 84,5
Glasgow City,2011-12,Male,85 to 89,-28
Glasgow City,2011-12,Male,90 and over,9
Glasgow City,2011-12,Male,All ages,612
Glasgow City,2012-13,Female,0 to 4,-281
Glasgow City,2012-13,Female,10 to 14,-47
Glasgow City,2012-13,Female,15 to 19,1054
Glasgow City,2012-13,Female,20 to 24,868
Glasgow City,2012-13,Female,25 to 29,-132
Glasgow City,2012-13,Female,30 to 34,-451
Glasgow City,2012-13,Female,35 to 39,-302
Glasgow City,2012-13,Female,40 to 44,-200
Glasgow City,2012-13,Female,45 to 49,-56
Glasgow City,2012-13,Female,5 to 9,-139
Glasgow City,2012-13,Female,50 to 54,-23
Glasgow City,2012-13,Female,55 to 59,-38
Glasgow City,2012-13,Female,60 to 64,-60
Glasgow City,2012-13,Female,65 to 69,-4
Glasgow City,2012-13,Female,70 to 74,-12
Glasgow City,2012-13,Female,75 to 79,-18
Glasgow City,2012-13,Female,80 to 84,-66
Glasgow City,2012-13,Female,85 to 89,-49
Glasgow City,2012-13,Female,90 and over,-58
Glasgow City,2012-13,Female,All ages,-14
Glasgow City,2012-13,Male,0 to 4,-283
Glasgow City,2012-13,Male,10 to 14,-3
Glasgow City,2012-13,Male,15 to 19,792
Glasgow City,2012-13,Male,20 to 24,866
Glasgow City,2012-13,Male,25 to 29,213
Glasgow City,2012-13,Male,30 to 34,-138
Glasgow City,2012-13,Male,35 to 39,-287
Glasgow City,2012-13,Male,40 to 44,-242
Glasgow City,2012-13,Male,45 to 49,-118
Glasgow City,2012-13,Male,5 to 9,-191
Glasgow City,2012-13,Male,50 to 54,-13
Glasgow City,2012-13,Male,55 to 59,-11
Glasgow City,2012-13,Male,60 to 64,-22
Glasgow City,2012-13,Male,65 to 69,-31
Glasgow City,2012-13,Male,70 to 74,-17
Glasgow City,2012-13,Male,75 to 79,-30
Glasgow City,2012-13,Male,80 to 84,-15
Glasgow City,2012-13,Male,85 to 89,-4
Glasgow City,2012-13,Male,90 and over,-13
Glasgow City,2012-13,Male,All ages,453
Glasgow City,2013-14,Female,0 to 4,-293
Glasgow City,2013-14,Female,10 to 14,-36
Glasgow City,2013-14,Female,15 to 19,1145
Glasgow City,2013-14,Female,20 to 24,1206
Glasgow City,2013-14,Female,25 to 29,155
Glasgow City,2013-14,Female,30 to 34,-469
Glasgow City,2013-14,Female,35 to 39,-336
Glasgow City,2013-14,Female,40 to 44,-139
Glasgow City,2013-14,Female,45 to 49,4
Glasgow City,2013-14,Female,5 to 9,-167
Glasgow City,2013-14,Female,50 to 54,-2
Glasgow City,2013-14,Female,55 to 59,-1
Glasgow City,2013-14,Female,60 to 64,-25
Glasgow City,2013-14,Female,65 to 69,-30
Glasgow City,2013-14,Female,70 to 74,-28
Glasgow City,2013-14,Female,75 to 79,-32
Glasgow City,2013-14,Female,80 to 84,-15
Glasgow City,2013-14,Female,85 to 89,-47
Glasgow City,2013-14,Female,90 and over,-50
Glasgow City,2013-14,Female,All ages,840
Glasgow City,2013-14,Male,0 to 4,-390
Glasgow City,2013-14,Male,10 to 14,-42
Glasgow City,2013-14,Male,15 to 19,868
Glasgow City,2013-14,Male,20 to 24,1158
Glasgow City,2013-14,Male,25 to 29,408
Glasgow City,2013-14,Male,30 to 34,-164
Glasgow City,2013-14,Male,35 to 39,-284
Glasgow City,2013-14,Male,40 to 44,-144
Glasgow City,2013-14,Male,45 to 49,-93
Glasgow City,2013-14,Male,5 to 9,-88
Glasgow City,2013-14,Male,50 to 54,50
Glasgow City,2013-14,Male,55 to 59,-7
Glasgow City,2013-14,Male,60 to 64,-12
Glasgow City,2013-14,Male,65 to 69,-39
Glasgow City,2013-14,Male,70 to 74,0
Glasgow City,2013-14,Male,75 to 79,1
Glasgow City,2013-14,Male,80 to 84,1
Glasgow City,2013-14,Male,85 to 89,-4
Glasgow City,2013-14,Male,90 and over,-12
Glasgow City,2013-14,Male,All ages,1207
Glasgow City,2014-15,Female,0 to 4,-255
Glasgow City,2014-15,Female,10 to 14,2
Glasgow City,2014-15,Female,15 to 19,1414
Glasgow City,2014-15,Female,20 to 24,1863
Glasgow City,2014-15,Female,25 to 29,542
Glasgow City,2014-15,Female,30 to 34,-372
Glasgow City,2014-15,Female,35 to 39,-315
Glasgow City,2014-15,Female,40 to 44,-196
Glasgow City,2014-15,Female,45 to 49,-13
Glasgow City,2014-15,Female,5 to 9,-105
Glasgow City,2014-15,Female,50 to 54,-2
Glasgow City,2014-15,Female,55 to 59,-13
Glasgow City,2014-15,Female,60 to 64,-26
Glasgow City,2014-15,Female,65 to 69,-35
Glasgow City,2014-15,Female,70 to 74,-8
Glasgow City,2014-15,Female,75 to 79,-34
Glasgow City,2014-15,Female,80 to 84,-23
Glasgow City,2014-15,Female,85 to 89,-28
Glasgow City,2014-15,Female,90 and over,-54
Glasgow City,2014-15,Female,All ages,2342
Glasgow City,2014-15,Male,0 to 4,-346
Glasgow City,2014-15,Male,10 to 14,20
Glasgow City,2014-15,Male,15 to 19,1066
Glasgow City,2014-15,Male,20 to 24,1971
Glasgow City,2014-15,Male,25 to 29,1114
Glasgow City,2014-15,Male,30 to 34,25
Glasgow City,2014-15,Male,35 to 39,-192
Glasgow City,2014-15,Male,40 to 44,-53
Glasgow City,2014-15,Male,45 to 49,-20
Glasgow City,2014-15,Male,5 to 9,-78
Glasgow City,2014-15,Male,50 to 54,57
Glasgow City,2014-15,Male,55 to 59,10
Glasgow City,2014-15,Male,60 to 64,-6
Glasgow City,2014-15,Male,65 to 69,-31
Glasgow City,2014-15,Male,70 to 74,-2
Glasgow City,2014-15,Male,75 to 79,2
Glasgow City,2014-15,Male,80 to 84,-19
Glasgow City,2014-15,Male,85 to 89,-9
Glasgow City,2014-15,Male,90 and over,-11
Glasgow City,2014-15,Male,All ages,3498
Glasgow City,2015-16,Female,0 to 4,-226
Glasgow City,2015-16,Female,10 to 14,24
Glasgow City,2015-16,Female,15 to 19,1606
Glasgow City,2015-16,Female,20 to 24,2422
Glasgow City,2015-16,Female,25 to 29,641
Glasgow City,2015-16,Female,30 to 34,-249
Glasgow City,2015-16,Female,35 to 39,-270
Glasgow City,2015-16,Female,40 to 44,-99
Glasgow City,2015-16,Female,45 to 49,3
Glasgow City,2015-16,Female,5 to 9,-54
Glasgow City,2015-16,Female,50 to 54,-4
Glasgow City,2015-16,Female,55 to 59,9
Glasgow City,2015-16,Female,60 to 64,-25
Glasgow City,2015-16,Female,65 to 69,-27
Glasgow City,2015-16,Female,70 to 74,24
Glasgow City,2015-16,Female,75 to 79,-25
Glasgow City,2015-16,Female,80 to 84,-37
Glasgow City,2015-16,Female,85 to 89,-27
Glasgow City,2015-16,Female,90 and over,-42
Glasgow City,2015-16,Female,All ages,3644
Glasgow City,2015-16,Male,0 to 4,-245
Glasgow City,2015-16,Male,10 to 14,70
Glasgow City,2015-16,Male,15 to 19,1281
Glasgow City,2015-16,Male,20 to 24,2118
Glasgow City,2015-16,Male,25 to 29,1207
Glasgow City,2015-16,Male,30 to 34,178
Glasgow City,2015-16,Male,35 to 39,-132
Glasgow City,2015-16,Male,40 to 44,-99
Glasgow City,2015-16,Male,45 to 49,-21
Glasgow City,2015-16,Male,5 to 9,3
Glasgow City,2015-16,Male,50 to 54,-5
Glasgow City,2015-16,Male,55 to 59,17
Glasgow City,2015-16,Male,60 to 64,14
Glasgow City,2015-16,Male,65 to 69,-22
Glasgow City,2015-16,Male,70 to 74,-21
Glasgow City,2015-16,Male,75 to 79,16
Glasgow City,2015-16,Male,80 to 84,-14
Glasgow City,2015-16,Male,85 to 89,-17
Glasgow City,2015-16,Male,90 and over,-9
Glasgow City,2015-16,Male,All ages,4319
Glasgow City,2016-17,Female,0 to 4,-294
Glasgow City,2016-17,Female,10 to 14,-8
Glasgow City,2016-17,Female,15 to 19,1438
Glasgow City,2016-17,Female,20 to 24,1578
Glasgow City,2016-17,Female,25 to 29,440
Glasgow City,2016-17,Female,30 to 34,-375
Glasgow City,2016-17,Female,35 to 39,-339
Glasgow City,2016-17,Female,40 to 44,-112
Glasgow City,2016-17,Female,45 to 49,-24
Glasgow City,2016-17,Female,5 to 9,-48
Glasgow City,2016-17,Female,50 to 54,-15
Glasgow City,2016-17,Female,55 to 59,-5
Glasgow City,2016-17,Female,60 to 64,-10
Glasgow City,2016-17,Female,65 to 69,-18
Glasgow City,2016-17,Female,70 to 74,-16
Glasgow City,2016-17,Female,75 to 79,-20
Glasgow City,2016-17,Female,80 to 84,-33
Glasgow City,2016-17,Female,85 to 89,-7
Glasgow City,2016-17,Female,90 and over,-26
Glasgow City,2016-17,Female,All ages,2106
Glasgow City,2016-17,Male,0 to 4,-256
Glasgow City,2016-17,Male,10 to 14,54
Glasgow City,2016-17,Male,15 to 19,1172
Glasgow City,2016-17,Male,20 to 24,1877
Glasgow City,2016-17,Male,25 to 29,942
Glasgow City,2016-17,Male,30 to 34,80
Glasgow City,2016-17,Male,35 to 39,-223
Glasgow City,2016-17,Male,40 to 44,-152
Glasgow City,2016-17,Male,45 to 49,-84
Glasgow City,2016-17,Male,5 to 9,-50
Glasgow City,2016-17,Male,50 to 54,-19
Glasgow City,2016-17,Male,55 to 59,11
Glasgow City,2016-17,Male,60 to 64,-25
Glasgow City,2016-17,Male,65 to 69,0
Glasgow City,2016-17,Male,70 to 74,-19
Glasgow City,2016-17,Male,75 to 79,-8
Glasgow City,2016-17,Male,80 to 84,-11
Glasgow City,2016-17,Male,85 to 89,2
Glasgow City,2016-17,Male,90 and over,-7
Glasgow City,2016-17,Male,All ages,3284
Glasgow City,2017-18,Female,0 to 4,-150
Glasgow City,2017-18,Female,10 to 14,-28
Glasgow City,2017-18,Female,15 to 19,1507
Glasgow City,2017-18,Female,20 to 24,1691
Glasgow City,2017-18,Female,25 to 29,334
Glasgow City,2017-18,Female,30 to 34,-287
Glasgow City,2017-18,Female,35 to 39,-312
Glasgow City,2017-18,Female,40 to 44,-127
Glasgow City,2017-18,Female,45 to 49,-61
Glasgow City,2017-18,Female,5 to 9,-109
Glasgow City,2017-18,Female,50 to 54,-15
Glasgow City,2017-18,Female,55 to 59,-36
Glasgow City,2017-18,Female,60 to 64,-41
Glasgow City,2017-18,Female,65 to 69,-49
Glasgow City,2017-18,Female,70 to 74,0
Glasgow City,2017-18,Female,75 to 79,-1
Glasgow City,2017-18,Female,80 to 84,-19
Glasgow City,2017-18,Female,85 to 89,2
Glasgow City,2017-18,Female,90 and over,-3
Glasgow City,2017-18,Female,All ages,2296
Glasgow City,2017-18,Male,0 to 4,-194
Glasgow City,2017-18,Male,10 to 14,-33
Glasgow City,2017-18,Male,15 to 19,1151
Glasgow City,2017-18,Male,20 to 24,1889
Glasgow City,2017-18,Male,25 to 29,934
Glasgow City,2017-18,Male,30 to 34,131
Glasgow City,2017-18,Male,35 to 39,-245
Glasgow City,2017-18,Male,40 to 44,-190
Glasgow City,2017-18,Male,45 to 49,-118
Glasgow City,2017-18,Male,5 to 9,-98
Glasgow City,2017-18,Male,50 to 54,-6
Glasgow City,2017-18,Male,55 to 59,-40
Glasgow City,2017-18,Male,60 to 64,-46
Glasgow City,2017-18,Male,65 to 69,-58
Glasgow City,2017-18,Male,70 to 74,-28
Glasgow City,2017-18,Male,75 to 79,12
