Council area,Year,Sex,Age group,Number
Aberdeen City,2006-07,Female,50 to 54,23
Aberdeen City,2006-07,Female,55 to 59,-21
Aberdeen City,2006-07,Female,60 to 64,-14
Aberdeen City,2006-07,Female,65 to 69,-15
Aberdeen City,2006-07,Female,70 to 74,-9
Aberdeen City,2006-07,Female,75 to 79,-12
Aberdeen City,2006-07,Female,80 to 84,-16
Aberdeen City,2006-07,Female,85 to 89,-27
Aberdeen City,2006-07,Female,90 and over,-4
Aberdeen City,2006-07,Female,All ages,1333
Aberdeen City,2006-07,Male,0 to 4,73
Aberdeen City,2006-07,Male,10 to 14,39
Aberdeen City,2006-07,Male,15 to 19,327
Aberdeen City,2006-07,Male,20 to 24,653
Aberdeen City,2006-07,Male,25 to 29,360
Aberdeen City,2006-07,Male,30 to 34,161
Aberdeen City,2006-07,Male,35 to 39,50
Aberdeen City,2006-07,Male,40 to 44,-7
Aberdeen City,2006-07,Male,45 to 49,4
Aberdeen City,2006-07,Male,5 to 9,26
Aberdeen City,2006-07,Male,50 to 54,27
Aberdeen City,2006-07,Male,55 to 59,-5
Aberdeen City,2006-07,Male,60 to 64,-15
Aberdeen City,2006-07,Male,65 to 69,-38
Aberdeen City,2006-07,Male,70 to 74,-7
Aberdeen City,2006-07,Male,75 to 79,-11
Aberdeen City,2006-07,Male,80 to 84,-1
Aberdeen City,2006-07,Male,85 to 89,-13
Aberdeen City,2006-07,Male,90 and over,-3
Aberdeen City,2006-07,Male,All ages,1620
Aberdeen City,2007-08,Female,0 to 4,62
Aberdeen City,2007-08,Female,10 to 14,30
Aberdeen City,2007-08,Female,15 to 19,582
Aberdeen City,2007-08,Female,20 to 24,380
Aberdeen City,2007-08,Female,25 to 29,51
Aberdeen City,2007-08,Female,30 to 34,-42
Aberdeen City,2007-08,Female,35 to 39,-28
Aberdeen City,2007-08,Female,40 to 44,-10
Aberdeen City,2007-08,Female,45 to 49,-8
Aberdeen City,2007-08,Female,5 to 9,8
Aberdeen City,2007-08,Female,50 to 54,-61
Aberdeen City,2007-08,Female,55 to 59,-24
Aberdeen City,2007-08,Female,60 to 64,-61
Aberdeen City,2007-08,Female,65 to 69,-12
Aberdeen City,2007-08,Female,70 to 74,-22
Aberdeen City,2007-08,Female,75 to 79,-15
Aberdeen City,2007-08,Female,80 to 84,-18
Aberdeen City,2007-08,Female,85 to 89,-15
Aberdeen City,2007-08,Female,90 and over,-17
Aberdeen City,2007-08,Female,All ages,780
Aberdeen City,2007-08,Male,0 to 4,62
Aberdeen City,2007-08,Male,10 to 14,-7
Aberdeen City,2007-08,Male,15 to 19,218
Aberdeen City,2007-08,Male,20 to 24,525
Aberdeen City,2007-08,Male,25 to 29,266
Aberdeen City,2007-08,Male,30 to 34,61
Aberdeen City,2007-08,Male,35 to 39,-59
